,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
0,2017.01.01,12622,"N11W83(950"",192"")",α/α,Axx/Axx,0010/0010,01/01,-
1,2017.01.02,12622,"N11W91(957"",184"")",/α,/Axx,/0010,/01,-
2,2017.01.02,12623,"S06W19(317"",-50"")",/-,/---,/----,/--,-
3,2017.01.03,12623,"S06W34(544"",-54"")",/,/,/,/,-
4,2017.01.04,12624,"S08W69(903"",-114"")",α/-,Axx/---,0000/----,01/--,-
5,2017.01.04,12623,"S06W49(734"",-63"")",/,/,/,/,-
6,2017.01.05,12623,"S06W64(873"",-75"")",/,/,/,/,-
7,2017.01.05,12624,"S08W83(959"",-128"")",/α,/Axx,/0000,/01,-
8,2017.01.06,12623,"S06W79(952"",-89"")",/,/,/,/,-
9,2017.01.06,12624,"S06W91(969"",-102"")",/,/,/,/,-
10,2017.01.07,12623,"S06W91(969"",-102"")",/,/,/,/,-
11,2017.01.13,12625,"N03E60(-845"",88"")",α/-,Hsx/---,0030/----,01/--,-
12,2017.01.14,12625,"N03E46(-702"",104"")",β/α,Cso/Hsx,0050/0030,03/01,-
13,2017.01.14,12626,"N08E55(-792"",179"")",α/-,Hsx/---,0020/----,01/--,-
14,2017.01.15,12625,"N03E33(-532"",117"")",β/β,Cso/Cso,0050/0050,03/03,-
15,2017.01.15,12626,"N08E43(-660"",193"")",α/α,Hsx/Hsx,0140/0020,02/01,-
16,2017.01.16,12625,"N03E19(-318"",127"")",α/β,Hsx/Cso,0040/0050,01/03,-
17,2017.01.16,12626,"N09E30(-483"",221"")",α/α,Hax/Hsx,0140/0140,02/02,-
18,2017.01.17,12625,"N01E06(-102"",99"")",α/α,Hsx/Hsx,0060/0040,01/01,-
19,2017.01.17,12626,"N08E17(-283"",213"")",α/α,Hax/Hax,0120/0140,03/02,-
20,2017.01.18,12625,"N01W06(102"",100"")",α/α,Hsx/Hsx,0050/0060,02/01,-
21,2017.01.18,12626,"N08E04(-67"",218"")",β/α,Cao/Hax,0090/0120,04/03,-
22,2017.01.19,12625,"N00W19(318"",81"")",β/α,Cao/Hsx,0040/0050,02/02,-
23,2017.01.19,12626,"N07W09(152"",202"")",α/β,Hax/Cao,0060/0090,03/04,-
24,2017.01.20,12625,"N00W32(518"",74"")",α/β,Hax/Cao,0020/0040,02/02,-
25,2017.01.20,12626,"N08W23(378"",215"")",α/α,Hax/Hax,0070/0060,04/03,-
26,2017.01.21,12625,"N00W47(714"",60"")",α/α,Hax/Hax,0040/0020,02/02,-
27,2017.01.21,12626,"N08W36(569"",206"")",α/α,Hax/Hax,0050/0070,03/04,-
28,2017.01.21,12627,"N05E16(-268"",170"")",β/-,Dao/---,0070/----,12/--,-
29,2017.01.21,12628,"N12E37(-575"",271"")",β/-,Bxo/---,0020/----,04/--,C1.8(13:19) C6.1(10:59)C1.1(10:19)C1.0(09:40)C9.3(07:14)C1.2(06:23) / -
30,2017.01.22,12625,"N01W54(790"",69"")",α/α,Hax/Hax,0030/0040,03/02,-
31,2017.01.22,12626,"N08W43(660"",200"")",α/α,Hsx/Hax,0040/0050,03/03,-
32,2017.01.22,12627,"N06E09(-152"",190"")",β/β,Dai/Dao,0080/0070,13/12,-
33,2017.01.22,12628,"N12E30(-478"",278"")",βγ/β,Dai/Bxo,0120/0020,08/04,- / C1.8(13:19) C6.1(10:59)C1.1(10:19)C1.0(09:40)C9.3(07:14)C1.2(06:23)
34,2017.01.23,12625,"N01W74(937"",42"")",α/α,Axx/Hax,0000/0030,01/03,-
35,2017.01.23,12626,"N08W62(853"",177"")",α/α,Hax/Hsx,0030/0040,01/03,-
36,2017.01.23,12627,"N06W11(185"",191"")",β/β,Dai/Dai,0110/0080,11/13,-
37,2017.01.23,12628,"N12E09(-149"",291"")",βγ/βγ,Dao/Dai,0210/0120,08/08,-
38,2017.01.24,12626,"N08W75(932"",158"")",α/α,Hsx/Hax,0030/0030,02/01,-
39,2017.01.24,12627,"N06W24(395"",186"")",β/β,Dai/Dai,0070/0110,13/11,-
40,2017.01.24,12628,"N12W05(83"",293"")",β/βγ,Dso/Dao,0220/0210,08/08,-
41,2017.01.24,12625,"N01W89(973"",18"")",/α,/Axx,/0000,/01,-
42,2017.01.25,12626,"N08W86(962"",141"")",α/α,Axx/Hsx,0010/0030,02/02,-
43,2017.01.25,12627,"N06W37(585"",176"")",β/β,Cro/Dai,0030/0070,04/13,-
