,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
0,2016.01.01,12473,"S21W73(871"",-335"")",β/β,Cao/Eac,0130/0240,08/13,C2.4(09:36)C2.3(06:33)/ C1.6(19:57) C1.4(17:19)
1,2016.01.01,12472,"N04W72(926"",84"")",/α,/Axx,/0010,/01,-
2,2016.01.01,12475,"N08W91(965"",134"")",/,/,/,/,-
3,2016.01.02,12473,"S21W86(908"",-345"")",β/β,Eso/Cao,0110/0130,08/08,- / M2.4(23:10) C2.7(22:25)C2.4(09:36)C2.3(06:33)
4,2016.01.02,12476,"S11E48(-713"",-150"")",α/-,Axx/---,0010/----,01/--,-
5,2016.01.02,12477,"N12E62(-844"",227"")",α/-,Hsx/---,0020/----,01/--,-
6,2016.01.02,12472,"N04W87(971"",70"")",/,/,/,/,-
7,2016.01.03,12473,"S21W91(910"",-349"")",β/β,Cao/Eso,0040/0110,03/08,-
8,2016.01.03,12476,"S10E34(-539"",-124"")",β/α,Cro/Axx,0020/0010,06/01,-
9,2016.01.03,12477,"N12E48(-711"",239"")",α/α,Hsx/Hsx,0070/0020,01/01,-
10,2016.01.03,12478,"N07E40(-624"",161"")",β/-,Bxo/---,0010/----,02/--,-
11,2016.01.03,12472,"N04W91(972"",66"")",/,/,/,/,-
12,2016.01.04,12476,"S10E21(-345"",-116"")",β/β,Dai/Cro,0080/0020,16/06,-
13,2016.01.04,12477,"N12E34(-535"",250"")",α/α,Hsx/Hsx,0070/0070,01/01,-
14,2016.01.04,12478,"N07E25(-410"",171"")",β/β,Cro/Bxo,0020/0010,03/02,-
15,2016.01.05,12476,"S10E07(-117"",-111"")",β/β,Dao/Dai,0070/0080,12/16,-
16,2016.01.05,12477,"N12E20(-327"",258"")",α/α,Hsx/Hsx,0070/0070,01/01,-
17,2016.01.05,12478,"N07E11(-185"",177"")",β/β,Bxo/Cro,0010/0020,03/03,-
18,2016.01.05,12479,"N11W08(133"",244"")",β/-,Bxo/---,0010/----,04/--,-
19,2016.01.06,12476,"S10W07(117"",-109"")",β/β,Cro/Dao,0030/0070,08/12,-
20,2016.01.06,12477,"N12E06(-100"",263"")",α/α,Hsx/Hsx,0070/0070,01/01,-
21,2016.01.06,12478,"N07W03(50"",180"")",/β,/Bxo,/0010,/03,-
22,2016.01.06,12479,"N11W22(360"",242"")",/β,/Bxo,/0010,/04,-
23,2016.01.07,12476,"S09W21(346"",-94"")",β/β,Bxo/Cro,0010/0030,03/08,-
24,2016.01.07,12477,"N12W08(133"",264"")",α/α,Hsx/Hsx,0070/0070,01/01,-
25,2016.01.07,12480,"N04E61(-852"",98"")",β/-,Cao/---,0080/----,04/--,C1.0(06:11)  / -
26,2016.01.07,12478,"N07W17(284"",179"")",/,/,/,/,-
27,2016.01.07,12479,"N11W36(564"",236"")",/,/,/,/,-
28,2016.01.08,12476,"S09W35(554"",-99"")",α/β,Axx/Bxo,0010/0010,02/03,-
29,2016.01.08,12477,"N12W22(358"",262"")",α/α,Hax/Hsx,0060/0070,01/01,-
30,2016.01.08,12480,"N03E45(-690"",97"")",β/β,Dao/Cao,0180/0080,06/04,- / C1.0(06:11)
31,2016.01.08,12481,"S18W68(861"",-277"")",β/-,Dao/---,0050/----,08/--,-
32,2016.01.08,12478,"N07W31(500"",174"")",/,/,/,/,-
33,2016.01.08,12479,"N11W50(735"",227"")",/,/,/,/,-
