,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
72,2019.05.08,12740,"N08E15(-244"",186"")",β/βδ,Cso/Cso,0240/0200,06/04,- / C1.4(11:52) C1.2(09:51)
73,2019.05.08,12741,"N05E53(-757"",116"")",α/α,Hsx/Hsx,0170/0100,01/01,-
74,2019.05.09,12740,"N08E01(-16"",186"")",β/β,Cao/Cso,0160/0240,03/06,C6.7(05:40)  / -
75,2019.05.09,12741,"N05E39(-597"",125"")",α/α,Hsx/Hsx,0160/0170,01/01,-
76,2019.05.10,12740,"N08W13(212"",183"")",β/β,Cao/Cao,0120/0160,04/03,- / C6.7(05:40)
77,2019.05.10,12741,"N06E25(-400"",147"")",α/α,Hsx/Hsx,0160/0160,01/01,-
78,2019.05.11,12740,"N08W26(413"",177"")",α/β,Hax/Cao,0110/0120,03/04,-
79,2019.05.11,12741,"N06E12(-197"",149"")",α/α,Hsx/Hsx,0160/0160,01/01,-
80,2019.05.12,12740,"N08W40(606"",169"")",α/α,Hax/Hax,0100/0110,03/03,-
81,2019.05.12,12741,"N06W02(33"",148"")",α/α,Hsx/Hsx,0160/0160,03/01,-
82,2019.05.13,12740,"N08W53(752"",160"")",α/α,Hax/Hax,0070/0100,02/03,-
83,2019.05.13,12741,"N06W15(245"",144"")",α/α,Hsx/Hsx,0210/0160,02/03,-
84,2019.05.14,12740,"N08W66(859"",150"")",α/α,Hrx/Hax,0010/0070,01/02,-
85,2019.05.14,12741,"N05W29(460"",122"")",α/α,Hsx/Hsx,0150/0210,02/02,-
86,2019.05.15,12740,"N08W80(925"",139"")",α/α,Axx/Hrx,0010/0010,01/01,-
87,2019.05.15,12741,"N06W43(645"",131"")",α/α,Hsx/Hsx,0160/0150,03/02,C2.0(19:15)  / -
88,2019.05.16,12741,"N05W57(794"",105"")",α/α,Hsx/Hsx,0150/0160,03/03,- / C2.0(19:15)
89,2019.05.16,12740,"N08W91(938"",131"")",/α,/Axx,/0010,/01,-
90,2019.05.17,12741,"N05W70(889"",96"")",α/α,Hax/Hsx,0150/0150,03/03,-
91,2019.05.18,12741,"N05W83(937"",87"")",α/α,Hax/Hax,0150/0150,03/03,-
92,2019.05.19,12741,"N05W91(944"",81"")",α/α,Hax/Hax,0140/0150,01/03,-
93,2019.06.25,12742,"N04W46(679"",40"")",α/-,Axx/---,0010/----,01/--,-
94,2019.06.25,12743,"N03W65(855"",33"")",α/-,Axx/---,0010/----,03/--,-
95,2019.06.26,12743,"N03W80(928"",42"")",α/α,Axx/Axx,0010/0010,02/03,-
96,2019.06.26,12742,"N04W59(808"",45"")",/α,/Axx,/0010,/01,-
97,2019.06.27,12743,"N03W91(941"",50"")",α/α,Axx/Axx,0000/0010,01/02,-
98,2019.06.27,12742,"N04W73(901"",53"")",/,/,/,/,-
99,2019.06.28,12743,"N03W91(941"",50"")",α/α,Axx/Axx,0010/0000,01/01,-
100,2019.07.08,12744,"S27E24(-343"",-478"")",β/-,Bxo/---,0020/----,02/--,-
101,2019.07.09,12744,"S27E10(-146"",-483"")",/β,/Bxo,/0020,/02,-
102,2019.07.10,12744,"S27W04(58"",-485"")",/,/,/,/,-
103,2019.07.11,12744,"S27W18(260"",-484"")",/,/,/,/,-
104,2019.07.12,12744,"S27W32(446"",-479"")",/,/,/,/,-
105,2019.07.13,12744,"S27W46(606"",-470"")",/,/,/,/,-
106,2019.07.14,12744,"S27W60(729"",-459"")",/,/,/,/,-
107,2019.07.15,12744,"S27W74(808"",-445"")",/,/,/,/,-
108,2019.07.17,12744,"S27W91(840"",-425"")",/-,/---,/----,/--,-
109,2019.07.23,12745,"N02W49(714"",-22"")",α/-,Axx/---,0000/----,01/--,-
110,2019.07.24,12745,"N02W64(849"",-4"")",/α,/Axx,/0000,/01,-
111,2019.07.25,12745,"N02W79(927"",16"")",/,/,/,/,-
112,2019.07.26,12745,"N02W91(943"",34"")",/,/,/,/,-
113,2019.08.06,12745,"S05W06(98"",-183"")",β/-,Bxo/---,0010/----,02/--,-
114,2019.08.07,12747,"N06W03(49"",-3"")",α/-,Axx/---,0000/----,01/--,-
115,2019.08.07,12746,"S05W21(339"",-177"")",/-,/---,/----,/--,-
116,2019.08.08,12746,"S05W36(555"",-165"")",/,/,/,/,-
117,2019.08.08,12747,"N06W17(276"",0"")",/α,/Axx,/0000,/01,-
118,2019.08.09,12746,"S05W51(734"",-147"")",/,/,/,/,-
119,2019.08.09,12747,"N06W32(500"",10"")",/,/,/,/,-
120,2019.08.10,12746,"S05W66(862"",-124"")",/,/,/,/,-
121,2019.08.10,12747,"N06W47(690"",26"")",/,/,/,/,-
122,2019.08.11,12746,"S05W81(931"",-98"")",/,/,/,/,-
123,2019.08.11,12747,"N06W62(832"",48"")",/,/,/,/,-
124,2019.08.12,12746,"S05W91(942"",-80"")",/,/,/,/,-
125,2019.08.12,12747,"N06W77(918"",74"")",/,/,/,/,-
126,2019.08.13,12747,"N06W91(941"",100"")",/,/,/,/,-
127,2019.08.14,12747,"N06W91(941"",100"")",/,/,/,/,-
128,2019.09.02,12748,"N14E08(-128"",113"")",β/-,Bxo/---,0010/----,02/--,-
129,2019.09.03,12748,"N14W07(112"",113"")",α/β,Hsx/Bxo,0020/0010,02/02,-
130,2019.09.04,12748,"N14W20(316"",119"")",/α,/Hsx,/0020,/02,-
131,2019.09.05,12748,"N14W34(518"",132"")",/,/,/,/,-
132,2019.09.06,12748,"N14W48(688"",150"")",/,/,/,/,-
133,2019.09.07,12748,"N14W62(817"",174"")",/,/,/,/,-
134,2019.09.08,12748,"N14W76(897"",200"")",/,/,/,/,-
135,2019.09.09,12748,"N14W89(923"",226"")",/,/,/,/,-
136,2019.09.10,12748,"N14W91(924"",230"")",/,/,/,/,-
137,2019.10.02,12749,"S09E47(-694"",-224"")",α/-,Axx/---,0000/----,01/--,-
138,2019.10.03,12749,"S09E34(-531"",-239"")",α/α,Axx/Axx,0000/0000,01/01,-
139,2019.10.04,12749,"S09E20(-325"",-251"")",/α,/Axx,/0000,/01,-
140,2019.10.05,12749,"S09E06(-99"",-256"")",/,/,/,/,-
141,2019.10.06,12749,"S09W08(132"",-255"")",/,/,/,/,-
142,2019.10.07,12749,"S09W22(356"",-247"")",/,/,/,/,-
143,2019.10.08,12749,"S09W36(559"",-234"")",/,/,/,/,-
144,2019.10.09,12749,"S09W50(728"",-216"")",/,/,/,/,-
145,2019.10.10,12749,"S09W64(854"",-194"")",/,/,/,/,-
146,2019.10.11,1NMBR,"N00W14(233"",-99"")",/-,Z/---,AREA/----,NN/--,-
147,2019.10.12,12749,"S09W91(948"",-147"")",/-,/---,/----,/--,-
148,2019.10.13,12749,"S09W91(949"",-147"")",/,/,/,/,-
149,2019.11.02,12750,"S28E24(-348"",-512"")",α/-,Axx/---,0010/----,01/--,-
150,2019.11.03,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day
151,2019.11.04,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day
152,2019.11.05,12750,"S28W31(441"",-504"")",/,/,/,/,-
153,2019.11.05,12751,"N06W70(905"",78"")",/,/,/,/,-
154,2019.11.06,12750,"S28W45(605"",-494"")",/,/,/,/,-
155,2019.11.06,12751,"N06W85(958"",95"")",/,/,/,/,-
156,2019.11.07,12750,"S28W59(733"",-482"")",/,/,/,/,-
157,2019.11.07,12751,"N06W91(962"",102"")",/,/,/,/,-
158,2019.11.08,12750,"S28W73(818"",-469"")",/,/,/,/,-
159,2019.11.09,12750,"S28W87(853"",-456"")",/,/,/,/,-
160,2019.11.10,12750,"S28W91(854"",-452"")",/,/,/,/,-
161,2019.11.14,12752,"S23E42(-598"",-413"")",/-,/---,/----,/--,-
162,2019.11.15,12752,"S23E28(-420"",-418"")",/,/,/,/,-
163,2019.11.16,12752,"S23E14(-216"",-420"")",/,/,/,/,-
164,2019.11.17,12752,"S23W00(0"",-420"")",/,/,/,/,-
165,2019.11.18,12752,"S23W14(216"",-417"")",/,/,/,/,-
166,2019.11.19,12752,"S23W28(420"",-412"")",/,/,/,/,-
167,2019.11.20,12752,"S23W42(599"",-405"")",/,/,/,/,-
168,2019.11.21,12752,"S23W54(724"",-399"")",/,/,/,/,-
169,2019.11.22,12752,"S23W70(841"",-390"")",/,/,/,/,-
170,2019.11.23,12752,"S23W84(889"",-382"")",/,/,/,/,-
171,2019.11.24,12752,"S23W91(893"",-378"")",/,/,/,/,-
172,2019.11.25,12752,"S23W91(894"",-378"")",/,/,/,/,-
173,2019.12.25,12753,"S29E32(-453"",-446"")",β/-,Bxo/---,0010/----,02/--,-
174,2019.12.25,12754,"N24W17(261"",430"")",β/-,Bxo/---,0010/----,02/--,-
175,2019.12.26,12753,"S29E16(-236"",-440"")",β/β,Bxo/Bxo,0010/0010,02/02,-
176,2019.12.26,12754,"N25W53(707"",434"")",α/β,Axx/Bxo,0010/0010,01/02,-
177,2019.12.27,12753,"S29E05(-74"",-437"")",α/β,Axx/Bxo,0010/0010,01/02,-
178,2019.12.27,12754,"N25W67(814"",427"")",/α,/Axx,/0010,/01,-
179,2019.12.28,12753,"S29W09(133"",-436"")",/α,/Axx,/0010,/01,-
180,2019.12.28,12754,"N25W81(873"",418"")",/,/,/,/,-
181,2019.12.29,12753,"S29W23(334"",-437"")",/,/,/,/,-
182,2019.12.29,12754,"N25W91(883"",410"")",/,/,/,/,-
183,2019.12.30,12753,"S29W36(503"",-440"")",/,/,/,/,-
184,2019.12.31,12753,"S29W50(655"",-445"")",/,/,/,/,-
