,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
0,2019.01.02,12732,"N10W32(510"",215"")",β/-,Bxo/---,0010/----,03/--,-
1,2019.01.03,12732,"N09W45(683"",192"")",β/β,Dro/Bxo,0030/0010,06/03,-
2,2019.01.04,12732,"N09W59(827"",182"")",β/β,Cao/Dro,0090/0030,06/06,-
3,2019.01.05,12732,"N10W71(909"",188"")",β/β,Cao/Cao,0050/0090,03/06,-
4,2019.01.06,12732,"N10W86(958"",173"")",β/β,Bxo/Cao,0010/0050,03/03,-
5,2019.01.07,12732,"N09W91(962"",151"")",β/β,Bxo/Bxo,0010/0010,02/03,- / C1.6(10:31)
6,2019.01.23,12733,"N06E10(-169"",191"")",β/-,Cro/---,0020/----,08/--,-
7,2019.01.24,12733,"N06W04(67"",193"")",β/β,Cro/Cro,0030/0020,09/08,-
8,2019.01.25,12733,"N06W19(316"",190"")",β/β,Dro/Cro,0030/0030,09/09,-
9,2019.01.26,12733,"N06W32(515"",182"")",β/β,Dri/Dro,0050/0030,17/09,C5.0(13:12)  / -
10,2019.01.27,12733,"N06W46(698"",168"")",β/β,Dsi/Dri,0080/0050,16/17,- / C5.0(13:12)
11,2019.01.28,12733,"N05W60(841"",133"")",β/β,Dso/Dsi,0090/0080,12/16,-
12,2019.01.29,12733,"N06W73(927"",130"")",β/β,Cso/Dso,0080/0090,06/12,C1.9(10:21)  / -
13,2019.01.30,12733,"N05W88(969"",87"")",β/β,Cso/Cso,0090/0080,05/06,C1.3(11:16)C5.2(05:56)/ C2.1(21:18) C1.9(10:21)
14,2019.01.31,12733,"N04W91(970"",65"")",β/β,Cao/Cso,0090/0090,02/05,- / C1.3(11:16)
15,2019.03.06,12734,"N08E15(-248"",251"")",β/-,Cro/---,0020/----,04/--,-
16,2019.03.07,12734,"N09E01(-16"",271"")",β/β,Cro/Cro,0030/0020,07/04,-
17,2019.03.08,12734,"N09W13(215"",268"")",β/β,Cao/Cro,0020/0030,04/07,C1.3(03:07)  / -
18,2019.03.09,12734,"N08W29(465"",239"")",α/β,Hax/Cao,0010/0020,01/04,- / C1.3(03:07)
19,2019.03.10,12734,"N08W42(641"",223"")",α/α,Hsx/Hax,0010/0010,01/01,-
20,2019.03.11,12734,"N08W56(794"",200"")",α/α,Hsx/Hsx,0010/0010,01/01,-
21,2019.03.12,12734,"N08W71(904"",172"")",α/α,Axx/Hsx,0010/0010,01/01,-
22,2019.03.13,12734,"N08W84(950"",145"")",α/α,Axx/Axx,0010/0010,01/01,-
23,2019.03.14,12734,"N08W91(954"",131"")",/α,/Axx,/0010,/01,-
24,2019.03.15,12734,"N08W91(954"",131"")",/,/,/,/,-
25,2019.03.19,12735,"N03E05(-84"",168"")",β/-,Bxo/---,0010/----,03/--,-
26,2019.03.20,12735,"N03W10(167"",166"")",β/β,Cro/Bxo,0020/0010,05/03,-
27,2019.03.21,12735,"N02W24(392"",141"")",α/β,Axx/Cro,0010/0020,02/05,-
28,2019.03.21,12736,"N09W47(697"",229"")",β/-,Dac/---,0050/----,06/--,C2.6(17:13) C1.2(15:58)C1.6(14:40)C5.6(03:08)C1.2(02:52)C1.3(02:50) / -
29,2019.03.22,12735,"N02W37(580"",127"")",α/α,Axx/Axx,0010/0010,01/02,-
30,2019.03.22,12736,"N09W60(825"",207"")",βγδ/β,Dac/Dac,0210/0050,28/06,C1.0(10:14) C1.3(08:13)C2.8(07:54)C4.8(05:05)C2.1(00:27) / -
31,2019.03.23,12736,"N08W74(916"",164"")",βγ/βγδ,Eki/Dac,0420/0210,17/28,- / C1.4(20:16)
32,2019.03.23,12735,"N02W51(749"",106"")",/α,/Axx,/0010,/01,-
33,2019.03.24,12736,"N08W89(952"",134"")",β/βγ,Eki/Eki,0280/0420,12/17,-
34,2019.03.24,12735,"N02W66(879"",80"")",/,/,/,/,-
35,2019.03.25,12736,"N08W91(951"",130"")",β/β,Dso/Eki,0060/0280,04/12,-
36,2019.03.25,12735,"N02W81(949"",51"")",/,/,/,/,-
37,2019.03.26,12735,"N02W91(960"",31"")",/,/,/,/,-
38,2019.04.01,12737,"N12E31(-485"",290"")",β/-,Bxo/---,0010/----,04/--,-
39,2019.04.02,12737,"N12E17(-275"",300"")",β/β,Cro/Bxo,0030/0010,07/04,-
40,2019.04.03,12737,"N12E02(-32"",304"")",β/β,Cao/Cro,0040/0030,08/07,-
41,2019.04.04,12737,"N13W10(162"",317"")",β/β,Bxo/Cao,0010/0040,07/08,-
42,2019.04.05,12737,"N13W24(381"",309"")",/β,/Bxo,/0010,/07,-
43,2019.04.06,12737,"N13W38(576"",295"")",/,/,/,/,-
44,2019.04.07,12737,"N11W49(711"",248"")",/,/,/,/,-
45,2019.04.08,12738,"N06E60(-826"",150"")",α/-,Hsx/---,0300/----,01/--,-
46,2019.04.08,12737,"N11W63(839"",227"")",/,/,/,/,-
47,2019.04.09,12738,"N06E48(-709"",166"")",α/α,Hhx/Hsx,0250/0300,02/01,-
48,2019.04.09,12737,"N11W77(916"",204"")",/,/,/,/,-
49,2019.04.10,12738,"N06E34(-534"",182"")",β/α,Cho/Hhx,0300/0250,02/02,-
50,2019.04.10,12737,"N11W91(939"",179"")",/,/,/,/,-
51,2019.04.11,12738,"N06E21(-342"",191"")",β/β,Cho/Cho,0350/0300,03/02,-
52,2019.04.12,12738,"N06E07(-116"",195"")",α/β,Hhx/Cho,0260/0350,03/03,-
53,2019.04.13,12738,"N06W06(99"",194"")",β/α,Cho/Hhx,0300/0260,04/03,-
54,2019.04.14,12738,"N06W19(310"",188"")",β/β,Cho/Cho,0300/0300,04/04,-
55,2019.04.15,12738,"N06W32(505"",178"")",α/β,Hhx/Cho,0250/0300,01/04,-
56,2019.04.16,12738,"N06W47(697"",162"")",α/α,Hhx/Hhx,0300/0250,01/01,-
57,2019.04.17,12738,"N06W61(832"",143"")",α/α,Hhx/Hhx,0330/0300,01/01,-
58,2019.04.18,12738,"N06W75(918"",122"")",α/α,Hhx/Hhx,0400/0330,01/01,-
59,2019.04.18,12739,"N05W30(477"",160"")",β/-,Bxo/---,0010/----,03/--,-
60,2019.04.19,12738,"N06W89(949"",100"")",α/α,Hhx/Hhx,0260/0400,01/01,-
61,2019.04.19,12739,"N05W46(686"",143"")",β/β,Cro/Bxo,0020/0010,02/03,-
62,2019.04.20,12738,"N06W91(949"",97"")",α/α,Hhx/Hhx,0250/0260,01/01,-
63,2019.04.20,12739,"N05W61(833"",124"")",β/β,Bxo/Cro,0020/0020,02/02,-
64,2019.04.21,12739,"N06W80(935"",114"")",α/β,Axx/Bxo,0010/0020,01/02,-
65,2019.04.22,12739,"N06W91(948"",97"")",/α,/Axx,/0010,/01,-
66,2019.04.23,12739,"N06W91(948"",97"")",/,/,/,/,-
67,2019.05.04,12740,"N12E67(-857"",221"")",α/-,Hhx/---,0260/----,01/--,-
68,2019.05.05,12740,"N09E54(-761"",184"")",α/α,Hhx/Hhx,0270/0260,02/01,- / C2.1(22:28)
69,2019.05.06,12740,"N08E41(-619"",177"")",βδ/α,Dho/Hhx,0280/0270,04/02,C1.0(19:41)C1.0(17:45)C7.4(13:35)C1.5(09:55)C2.0(08:41)C1.7(07:23)M1.0(05:04)  / -
70,2019.05.07,12740,"N07E27(-429"",167"")",βδ/βδ,Cso/Dho,0200/0280,04/04,C1.4(11:52)C1.2(09:51)/ C1.0(19:41)
71,2019.05.07,12741,"N05E68(-879"",104"")",α/-,Hsx/---,0100/----,01/--,-
