,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
0,2018.01.05,12693,"N18W52(732"",337"")",β/-,Cro/---,0020/----,03/--,-
1,2018.01.06,12693,"N19W64(830"",343"")",α/β,Axx/Cro,0010/0020,01/03,-
2,2018.01.07,12693,"N19W77(899"",330"")",α/α,Axx/Axx,0010/0010,01/01,-
3,2018.01.08,12693,"N20W90(916"",332"")",α/α,Axx/Axx,0010/0010,01/01,-
4,2018.01.09,12694,"S32W15(214"",-461"")",β/-,Bxo/---,0010/----,03/--,-
5,2018.01.09,12693,"N20W91(916"",331"")",/α,/Axx,/0010,/01,-
6,2018.01.10,12694,"S32W29(402"",-465"")",α/β,Axx/Bxo,0010/0010,03/03,-
7,2018.01.11,12694,"S32W42(555"",-471"")",α/α,Axx/Axx,0010/0010,01/03,-
8,2018.01.12,12695,"S08W71(914"",-111"")",β/-,Bxo/---,0010/----,02/--,-
9,2018.01.12,12694,"S32W56(687"",-481"")",/α,/Axx,/0010,/01,-
10,2018.01.13,12694,"S32W70(778"",-494"")",/,/,/,/,-
11,2018.01.13,12695,"S09W85(959"",-145"")",/β,/Bxo,/0010,/02,-
12,2018.01.14,12694,"S32W84(822"",-508"")",/,/,/,/,-
13,2018.01.14,12695,"S09W91(962"",-153"")",/,/,/,/,-
14,2018.01.15,12694,"S32W91(826"",-516"")",/,/,/,/,-
15,2018.01.16,12696,"S11E13(-216"",-109"")",β/-,Bxo/---,0020/----,02/--,-
16,2018.01.17,12696,"S13W00(0"",-139"")",β/β,Cro/Bxo,0030/0020,03/02,-
17,2018.01.18,12696,"S13W14(230"",-140"")",β/β,Bxo/Cro,0020/0030,02/03,-
18,2018.01.19,12696,"S12W27(434"",-128"")",β/β,Bxo/Bxo,0010/0020,02/02,-
19,2018.01.20,12696,"S12W41(627"",-138"")",α/β,Axx/Bxo,0010/0010,01/02,-
20,2018.01.21,12696,"S12W54(773"",-151"")",/α,/Axx,/0010,/01,-
21,2018.01.22,12696,"S12W67(878"",-167"")",/,/,/,/,-
22,2018.01.23,12696,"S12W81(941"",-187"")",/,/,/,/,-
23,2018.01.24,12696,"S12W91(952"",-203"")",/,/,/,/,-
24,2018.01.25,12696,"S12W91(952"",-203"")",/,/,/,/,-
25,2018.01.31,12697,"S10E36(-565"",-87"")",β/-,Bxo/---,0010/----,05/--,-
26,2018.02.01,12697,"S09E21(-345"",-56"")",α/β,Axx/Bxo,0000/0010,03/05,-
27,2018.02.02,12697,"S09E07(-117"",-49"")",/α,/Axx,/0000,/03,-
28,2018.02.03,12698,"S03E65(-882"",-6"")",α/-,Axx/---,0010/----,01/--,-
29,2018.02.03,12697,"S09W07(117"",-48"")",/,/,/,/,-
30,2018.02.04,12697,"S09W21(345"",-53"")",/,/,/,/,-
31,2018.02.04,12698,"S03E50(-746"",17"")",/α,/Axx,/0010,/01,-
32,2018.02.05,12699,"S04E62(-858"",-17"")",α/-,Hsx/---,0080/----,01/--,-
33,2018.02.05,12697,"S09W35(553"",-64"")",/,/,/,/,-
34,2018.02.05,12698,"S03E35(-559"",37"")",/,/,/,/,-
35,2018.02.06,12699,"S06E52(-764"",-34"")",β/α,Cso/Hsx,0130/0080,03/01,C1.0(18:45)  / -
36,2018.02.06,12697,"S09W49(727"",-81"")",/,/,/,/,-
37,2018.02.06,12698,"S03E20(-333"",51"")",/,/,/,/,-
38,2018.02.07,12699,"S08E39(-608"",-50"")",β/β,Dso/Cso,0160/0130,07/03,C1.7(14:35)C8.1(13:31)/ C1.0(18:45)
39,2018.02.07,12697,"S09W63(857"",-102"")",/,/,/,/,-
40,2018.02.07,12698,"S03E05(-85"",58"")",/,/,/,/,-
41,2018.02.08,12699,"S08E27(-438"",-37"")",βγ/β,Dso/Dso,0200/0160,10/07,- / C1.7(14:35) C8.1(13:31)
42,2018.02.08,12697,"S09W77(936"",-126"")",/,/,/,/,-
43,2018.02.08,12698,"S03W10(169"",58"")",/,/,/,/,-
44,2018.02.09,12699,"S06E13(-218"",6"")",βγ/βγ,Dai/Dso,0200/0200,12/10,-
45,2018.02.09,12697,"S09W91(959"",-152"")",/,/,/,/,-
46,2018.02.09,12698,"S03W25(411"",50"")",/,/,/,/,-
47,2018.02.10,12699,"S07E01(-16"",-6"")",β/βγ,Dai/Dai,0210/0200,13/12,C4.6(13:02)  / -
48,2018.02.10,12698,"S03W40(625"",35"")",/,/,/,/,-
49,2018.02.11,12699,"S07W11(184"",-7"")",β/β,Dai/Dai,0240/0210,25/13,- / C4.6(13:02)
50,2018.02.11,12698,"S03W55(796"",14"")",/,/,/,/,-
51,2018.02.12,12699,"S07W26(424"",-16"")",β/β,Dai/Dai,0230/0240,14/25,C1.5(00:15)/ C1.5(23:55)
52,2018.02.12,12698,"S03W70(912"",-11"")",/,/,/,/,-
53,2018.02.13,12699,"S07W41(634"",-31"")",β/β,Dai/Dai,0230/0230,16/14,- / C1.5(00:15)
54,2018.02.13,12698,"S03W85(966"",-40"")",/,/,/,/,-
55,2018.02.14,12699,"S07W56(801"",-53"")",β/β,Dsi/Dai,0180/0230,10/16,-
56,2018.02.14,12698,"S03W91(969"",-52"")",/,/,/,/,-
57,2018.02.15,12699,"S08W66(879"",-87"")",β/β,Dso/Dsi,0140/0180,08/10,-
58,2018.02.16,12699,"S08W80(947"",-114"")",β/β,Cao/Dso,0100/0140,05/08,-
59,2018.02.17,12699,"S08W91(960"",-136"")",α/β,Hax/Cao,0040/0100,02/05,-
60,2018.02.27,12700,"N06W25(408"",210"")",β/-,Cro/---,0030/----,06/--,-
61,2018.02.28,12700,"N06W40(620"",193"")",β/β,Bxo/Cro,0010/0030,05/06,-
62,2018.03.01,12700,"N07W53(769"",190"")",α/β,Axx/Bxo,0010/0010,01/05,-
63,2018.03.02,12700,"N08W67(883"",181"")",α/α,Axx/Axx,0010/0010,01/01,C1.9(10:56)  / -
64,2018.03.03,12700,"N07W80(946"",138"")",α/α,Axx/Axx,0010/0010,01/01,- / C1.9(10:56)
65,2018.03.04,12700,"N07W91(959"",114"")",/α,/Axx,/0010,/01,-
66,2018.03.16,12701,"S12W20(323"",-89"")",α/-,Axx/---,0010/----,01/--,-
67,2018.03.17,12701,"S12W34(529"",-102"")",/α,/Axx,/0010,/01,-
68,2018.03.18,12702,"N21W59(772"",400"")",β/-,Bxo/---,0010/----,05/--,-
69,2018.03.18,12701,"S12W48(702"",-121"")",/,/,/,/,-
70,2018.03.19,12702,"N19W72(867"",346"")",β/β,Bxo/Bxo,0010/0010,03/05,-
71,2018.03.19,12701,"S12W62(833"",-144"")",/,/,/,/,-
72,2018.03.20,12701,"S12W76(914"",-171"")",/,/,/,/,-
73,2018.03.20,12702,"N19W86(908"",318"")",/β,/Bxo,/0010,/03,-
74,2018.03.21,12701,"S12W90(941"",-198"")",/,/,/,/,-
75,2018.03.21,12702,"N19W91(909"",309"")",/,/,/,/,-
76,2018.03.31,12703,"S08E46(-685"",-57"")",α/-,Axx/---,0010/----,01/--,-
77,2018.04.01,12703,"S08E33(-519"",-42"")",α/α,Axx/Axx,0010/0010,02/01,-
78,2018.04.02,12703,"S08E20(-326"",-32"")",/α,/Axx,/0010,/02,-
79,2018.04.03,12703,"S08E06(-99"",-27"")",/,/,/,/,-
80,2018.04.04,12703,"S08W08(132"",-29"")",/,/,/,/,-
81,2018.04.05,12703,"S08W22(357"",-36"")",/,/,/,/,-
82,2018.04.06,12703,"S08W36(559"",-49"")",/,/,/,/,-
83,2018.04.07,12703,"S08W50(728"",-67"")",/,/,/,/,-
84,2018.04.08,12703,"S08W64(854"",-88"")",/,/,/,/,-
85,2018.04.09,12703,"S08W78(928"",-112"")",/,/,/,/,-
86,2018.04.10,12703,"S08W91(947"",-134"")",/,/,/,/,-
87,2018.04.11,12703,"S08W91(947"",-134"")",/,/,/,/,-
88,2018.04.13,12704,"N10E37(-568"",240"")",β/-,Bxo/---,0030/----,03/--,-
89,2018.04.14,12704,"N12E22(-351"",284"")",β/β,Bxo/Bxo,0030/0030,04/03,-
90,2018.04.15,12704,"N12E10(-163"",288"")",α/β,Axx/Bxo,0010/0030,01/04,-
91,2018.04.16,12704,"N12E01(-16"",288"")",/α,/Axx,/0010,/01,-
92,2018.04.17,12704,"N12W13(211"",284"")",/,/,/,/,-
93,2018.04.17,12705,"N17W21(328"",360"")",/-,/---,/----,/--,-
94,2018.04.18,12704,"N12W27(425"",276"")",/,/,/,/,-
95,2018.04.18,12705,"N17W35(525"",348"")",/,/,/,/,-
96,2018.04.19,12704,"N12W41(614"",263"")",/,/,/,/,-
97,2018.04.19,12705,"N17W49(690"",333"")",/,/,/,/,-
98,2018.04.20,12706,"N04E59(-818"",110"")",β/-,Bxo/---,0020/----,04/--,-
99,2018.04.20,12704,"N12W55(766"",246"")",/,/,/,/,-
100,2018.04.20,12705,"N17W63(814"",315"")",/,/,/,/,-
101,2018.04.21,12706,"N04E47(-698"",124"")",β/β,Cao/Bxo,0040/0020,04/04,-
102,2018.04.21,12704,"N12W69(872"",227"")",/,/,/,/,-
103,2018.04.21,12705,"N17W77(889"",296"")",/,/,/,/,-
104,2018.04.22,12706,"N04E34(-534"",135"")",β/β,Dao/Cao,0110/0040,13/04,-
105,2018.04.22,12707,"S10E20(-322"",-88"")",α/-,Axx/---,0010/----,01/--,-
106,2018.04.22,12704,"N12W83(926"",207"")",/,/,/,/,-
107,2018.04.22,12705,"N17W91(911"",276"")",/,/,/,/,-
108,2018.04.23,12706,"N03E20(-327"",126"")",β/β,Dao/Dao,0130/0110,10/13,-
