,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
0,2020.01.01,12753,"S29W64(768"",-453"")",/,/,/,/,-
1,2020.01.02,12753,"S29W78(835"",-462"")",/,/,/,/,-
2,2020.01.03,12755,"S35E40(-515"",-525"")",β/-,Bxo/---,0020/----,03/--,-
3,2020.01.03,12753,"S29W91(852"",-472"")",/,/,/,/,-
4,2020.01.04,12755,"S34E24(-330"",-502"")",β/β,Bxo/Bxo,0020/0020,03/03,-
5,2020.01.05,12755,"S35E10(-139"",-512"")",α/β,Axx/Bxo,0010/0020,01/03,-
6,2020.01.06,12755,"S35W02(27"",-510"")",α/α,Axx/Axx,0010/0010,01/01,-
7,2020.01.07,12755,"S35W14(194"",-509"")",α/α,Axx/Axx,0010/0010,01/01,-
8,2020.01.08,12755,"S36W24(322"",-525"")",/α,/Axx,/0010,/01,-
9,2020.01.09,12755,"S36W38(487"",-530"")",/,/,/,/,-
10,2020.01.10,12756,"N22W77(881"",379"")",β/-,Cro/---,0030/----,04/--,-
11,2020.01.10,12755,"S36W52(623"",-538"")",/,/,/,/,-
12,2020.01.11,12756,"N23W90(897"",379"")",α/β,Axx/Cro,0010/0030,01/04,-
13,2020.01.11,12755,"S36W66(721"",-549"")",/,/,/,/,-
14,2020.01.12,12755,"S36W80(777"",-561"")",/,/,/,/,-
15,2020.01.12,12756,"N23W91(897"",378"")",/α,/Axx,/0010,/01,-
16,2020.01.13,12755,"S36W91(788"",-572"")",/,/,/,/,-
17,2020.01.25,12757,"N04E18(-301"",156"")",β/-,Bxo/---,0010/----,02/--,-
18,2020.01.26,12757,"N03E02(-34"",145"")",β/β,Bxo/Bxo,0020/0010,04/02,-
19,2020.01.27,12757,"N04W13(219"",161"")",β/β,Cao/Bxo,0060/0020,08/04,-
20,2020.01.28,12757,"N05W26(427"",172"")",β/β,Cso/Cao,0100/0060,02/08,-
21,2020.01.29,12757,"N04W40(626"",143"")",α/β,Hsx/Cso,0070/0100,01/02,-
22,2020.01.30,12757,"N04W54(787"",126"")",α/α,Hsx/Hsx,0060/0070,01/01,-
23,2020.01.31,12757,"N04W68(901"",105"")",α/α,Hsx/Hsx,0060/0060,01/01,-
24,2020.02.01,12757,"N04W82(962"",81"")",α/α,Hrx/Hsx,0020/0060,01/01,-
25,2020.02.02,12757,"N03W91(971"",48"")",α/α,Axx/Hrx,0010/0020,01/01,-
26,2020.02.03,12757,"N03W91(971"",48"")",/α,/Axx,/0010,/01,-
27,2020.03.09,12758,"S29E14(-205"",-362"")",β/-,Cro/---,0020/----,03/--,-
28,2020.03.10,12758,"S30W00(0"",-375"")",α/β,Hrx/Cro,0010/0020,02/03,-
29,2020.03.11,12758,"S30W13(188"",-378"")",/α,/Hrx,/0010,/02,-
30,2020.03.12,12758,"S30W27(380"",-386"")",/,/,/,/,-
31,2020.03.13,12758,"S30W41(549"",-401"")",/,/,/,/,-
32,2020.03.14,12758,"S30W55(685"",-419"")",/,/,/,/,-
33,2020.03.15,12758,"S30W69(780"",-441"")",/,/,/,/,-
34,2020.03.16,12758,"S30W83(829"",-465"")",/,/,/,/,-
35,2020.03.17,12758,"S30W91(834"",-479"")",/,/,/,/,-
36,2020.03.18,12758,"S30W91(834"",-479"")",/,/,/,/,-
37,2020.04.01,12759,"N28E40(-546"",522"")",α/-,Axx/---,0010/----,02/--,-
38,2020.04.02,12759,"N28E27(-385"",533"")",α/α,Hrx/Axx,0020/0010,03/02,-
39,2020.04.03,12759,"N28E11(-162"",541"")",α/α,Hrx/Hrx,0030/0020,02/03,-
40,2020.04.04,12759,"N27W01(14"",528"")",α/α,Hrx/Hrx,0030/0030,03/02,-
41,2020.04.05,12759,"N28W12(176"",539"")",α/α,Axx/Hrx,0010/0030,01/03,-
42,2020.04.06,12759,"N28W26(372"",530"")",/α,/Axx,/0010,/01,-
43,2020.04.07,12759,"N28W40(545"",517"")",/,/,/,/,-
44,2020.04.08,12759,"N28W54(685"",500"")",/,/,/,/,-
45,2020.04.09,12759,"N28W68(784"",480"")",/,/,/,/,-
46,2020.04.10,12759,"N28W82(837"",459"")",/,/,/,/,-
47,2020.04.11,12759,"N28W91(844"",445"")",/,/,/,/,-
48,2020.04.12,12759,"N28W91(844"",445"")",/,/,/,/,-
49,2020.04.26,12760,"S07E25(-401"",-47"")",α/-,Axx/---,0010/----,01/--,-
50,2020.04.27,12760,"S07E12(-197"",-43"")",β/α,Bxo/Axx,0010/0010,04/01,-
51,2020.04.28,12760,"S07W02(33"",-44"")",α/β,Axx/Bxo,0010/0010,02/04,-
52,2020.04.29,12760,"S06W15(246"",-31"")",/α,/Axx,/0010,/02,-
53,2020.04.29,12761,"S18W38(559"",-241"")",/-,/---,/----,/--,-
54,2020.04.30,12760,"S06W29(460"",-39"")",β/,Cro/,0020/,02/,-
55,2020.04.30,12762,"N24W59(746"",419"")",β/-,Bxo/---,0010/----,02/--,-
56,2020.04.30,12761,"S18W52(715"",-253"")",/,/,/,/,-
57,2020.05.01,12760,"S07W43(646"",-66"")",β/β,Cro/Cro,0020/0020,02/02,-
58,2020.05.01,12762,"N23W72(834"",390"")",α/β,Axx/Bxo,0010/0010,01/02,-
