,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
59,2020.05.01,12763,"N32E05(-70"",562"")",β/-,Bxo/---,0010/----,02/--,-
60,2020.05.01,12761,"S18W66(828"",-267"")",/,/,/,/,-
61,2020.05.02,12760,"S07W56(784"",-79"")",/β,/Cro,/0020,/02,-
62,2020.05.02,12761,"S18W80(891"",-282"")",/,/,/,/,-
63,2020.05.02,12762,"N23W86(873"",375"")",/α,/Axx,/0010,/01,-
64,2020.05.02,12763,"N32W09(126"",560"")",/β,/Bxo,/0010,/02,-
65,2020.05.03,12760,"S07W69(882"",-93"")",/,/,/,/,-
66,2020.05.03,12761,"S18W91(904"",-294"")",/,/,/,/,-
67,2020.05.03,12762,"N23W91(875"",369"")",/,/,/,/,-
68,2020.05.03,12763,"N32W22(303"",555"")",/,/,/,/,-
69,2020.05.04,12760,"S07W83(937"",-108"")",/,/,/,/,-
70,2020.05.04,12763,"N32W36(475"",547"")",/,/,/,/,-
71,2020.05.05,12760,"S07W91(943"",-116"")",/,/,/,/,-
72,2020.05.05,12763,"N32W50(619"",536"")",/,/,/,/,-
73,2020.05.06,12763,"N32W64(725"",525"")",/,/,/,/,-
74,2020.05.07,12763,"N32W78(788"",513"")",/,/,/,/,-
75,2020.05.08,12763,"N32W91(805"",501"")",/,/,/,/,-
76,2020.05.09,12763,"N32W91(805"",501"")",/,/,/,/,-
77,2020.06.02,12764,"N35E36(-456"",548"")",α/-,Axx/---,0000/----,01/--,-
78,2020.06.03,12764,"N34E24(-319"",534"")",/α,/Axx,/0000,/01,-
79,2020.06.04,12765,"S24E60(-749"",-383"")",α/-,Hsx/---,0070/----,02/--,-
80,2020.06.04,12764,"N34E10(-136"",532"")",/,/,/,/,-
81,2020.06.05,12765,"S24E47(-633"",-384"")",α/α,Hsx/Hsx,0100/0070,02/02,-
82,2020.06.05,12764,"N34W04(54"",531"")",/,/,/,/,-
83,2020.06.06,12765,"S24E33(-471"",-386"")",β/α,Cao/Hsx,0130/0100,03/02,-
84,2020.06.06,12764,"N34W18(242"",529"")",/,/,/,/,-
85,2020.06.07,12765,"S22E22(-329"",-357"")",β/β,Dso/Cao,0110/0130,05/03,-
86,2020.06.07,12764,"N34W32(416"",527"")",/,/,/,/,-
87,2020.06.08,12765,"S23E09(-136"",-375"")",β/β,Cao/Dso,0100/0110,06/05,-
88,2020.06.08,12764,"N34W46(564"",526"")",/,/,/,/,-
89,2020.06.09,12765,"S24W04(60"",-392"")",β/β,Cso/Cao,0100/0100,07/06,-
90,2020.06.09,12764,"N34W60(679"",526"")",/,/,/,/,-
91,2020.06.10,12765,"S24W17(253"",-393"")",β/β,Cso/Cso,0070/0100,04/07,-
92,2020.06.10,12764,"N34W74(753"",526"")",/,/,/,/,-
93,2020.06.11,12765,"S24W32(458"",-393"")",α/β,Hsx/Cso,0050/0070,01/04,-
94,2020.06.11,12764,"N34W88(782"",527"")",/,/,/,/,-
95,2020.06.12,12765,"S22W46(631"",-363"")",α/α,Hsx/Hsx,0050/0050,01/01,-
96,2020.06.13,12765,"S26W52(670"",-422"")",α/α,Hsx/Hsx,0050/0050,01/01,-
97,2020.06.14,12765,"S25W74(823"",-403"")",α/α,Hsx/Hsx,0060/0050,01/01,-
98,2020.06.15,12765,"S25W84(851"",-400"")",α/α,Hsx/Hsx,0020/0060,01/01,-
99,2020.06.16,12765,"S26W91(848"",-413"")",α/α,Hrx/Hsx,0010/0020,01/01,-
100,2020.07.05,12766,"N06E08(-131"",43"")",β/-,Bxo/---,0010/----,02/--,-
101,2020.07.06,12766,"N05W07(115"",24"")",α/β,Axx/Bxo,0010/0010,01/02,-
102,2020.07.07,12766,"N04W22(353"",10"")",/α,/Axx,/0010,/01,-
103,2020.07.08,12766,"N04W37(568"",16"")",/,/,/,/,-
104,2020.07.09,12766,"N04W51(733"",26"")",/,/,/,/,-
105,2020.07.10,12766,"N04W65(854"",38"")",/,/,/,/,-
106,2020.07.11,12766,"N05W76(912"",66"")",β/,Bxo/,0010/,02/,-
107,2020.07.12,12766,"N05W91(939"",83"")",/β,/Bxo,/0010,/02,-
108,2020.07.13,12766,"N05W91(939"",83"")",/,/,/,/,-
109,2020.07.22,12767,"S22E61(-766"",-390"")",α/-,Hsx/---,0080/----,01/--,-
110,2020.07.23,12767,"S22E47(-641"",-406"")",α/α,Hsx/Hsx,0120/0080,01/01,-
111,2020.07.24,12767,"S22E33(-478"",-420"")",α/α,Hsx/Hsx,0120/0120,01/01,-
112,2020.07.25,12767,"S21E20(-302"",-415"")",α/α,Hsx/Hsx,0120/0120,01/01,-
113,2020.07.26,12767,"S21E07(-107"",-420"")",α/α,Hsx/Hsx,0120/0120,01/01,-
114,2020.07.27,12767,"S21W06(92"",-422"")",α/α,Hsx/Hsx,0120/0120,01/01,-
115,2020.07.28,12767,"S20W18(275"",-404"")",α/α,Hsx/Hsx,0070/0120,01/01,-
116,2020.07.29,12767,"S20W32(472"",-396"")",α/α,Hsx/Hsx,0040/0070,01/01,-
117,2020.07.29,12768,"N25E54(-694"",348"")",α/-,Axx/---,0010/----,01/--,-
118,2020.07.30,12767,"S16W46(655"",-322"")",α/α,Hsx/Hsx,0080/0040,01/01,-
119,2020.07.30,12768,"N20E43(-607"",257"")",α/α,Axx/Axx,0005/0010,01/01,-
120,2020.07.31,12767,"S20W57(746"",-371"")",α/α,Hsx/Hsx,0090/0080,01/01,-
121,2020.07.31,12768,"N26E29(-413"",338"")",α/α,Hsx/Axx,0020/0005,01/01,-
122,2020.08.01,12767,"S21W71(835"",-366"")",α/α,Hsx/Hsx,0060/0090,01/01,-
123,2020.08.01,12768,"N26E16(-235"",330"")",β/α,Bxo/Hsx,0010/0020,02/01,-
124,2020.08.02,12767,"S21W84(877"",-346"")",α/α,Hsx/Hsx,0050/0060,01/01,-
125,2020.08.02,12768,"N26E03(-44"",325"")",α/β,Axx/Bxo,0010/0010,01/02,-
126,2020.08.03,12767,"S22W91(876"",-350"")",α/α,Hsx/Hsx,0050/0050,01/01,-
127,2020.08.03,12769,"N26E42(-570"",347"")",α/-,Axx/---,0010/----,01/--,-
128,2020.08.03,12768,"N26W11(162"",326"")",/α,/Axx,/0010,/01,-
129,2020.08.04,12769,"N27E30(-422"",351"")",α/α,Axx/Axx,0010/0010,02/01,-
130,2020.08.04,12770,"N21E61(-773"",292"")",α/-,Hsx/---,0060/----,01/--,-
131,2020.08.04,12768,"N26W25(360"",332"")",/,/,/,/,-
132,2020.08.05,12770,"N23E49(-658"",307"")",β/α,Cso/Hsx,0050/0060,02/01,-
133,2020.08.05,12768,"N26W39(536"",342"")",/,/,/,/,-
134,2020.08.05,12769,"N27E16(-233"",341"")",/α,/Axx,/0010,/02,-
135,2020.08.06,12770,"N22E38(-541"",278"")",β/β,Cso/Cso,0160/0050,03/02,-
136,2020.08.06,12768,"N26W53(680"",357"")",/,/,/,/,-
137,2020.08.06,12769,"N27E02(-29"",337"")",/,/,/,/,-
138,2020.08.07,12770,"N23E25(-369"",282"")",β/β,Cso/Cso,0070/0160,04/03,-
139,2020.08.07,12768,"N26W67(783"",376"")",/,/,/,/,-
140,2020.08.07,12769,"N27W12(175"",338"")",/,/,/,/,-
141,2020.08.08,12770,"N23E11(-166"",274"")",β/β,Cso/Cso,0070/0070,04/04,C1.5(03:42)  / -
142,2020.08.08,12768,"N26W81(840"",397"")",/,/,/,/,-
143,2020.08.08,12769,"N27W26(370"",344"")",/,/,/,/,-
144,2020.08.09,12770,"N22W03(46"",256"")",α/β,Hsx/Cso,0050/0070,01/04,- / C1.5(03:42)
145,2020.08.09,12768,"N26W91(850"",413"")",/,/,/,/,-
146,2020.08.09,12769,"N27W40(543"",356"")",/,/,/,/,-
147,2020.08.10,12770,"N22W15(228"",258"")",β/α,Cso/Hsx,0030/0050,03/01,-
148,2020.08.10,12769,"N27W54(683"",372"")",/,/,/,/,-
149,2020.08.11,12770,"N23W28(410"",281"")",α/β,Hrx/Cso,0020/0030,02/03,-
150,2020.08.11,12769,"N27W68(783"",391"")",/,/,/,/,-
151,2020.08.12,12770,"N23W41(573"",293"")",α/α,Axx/Hrx,0010/0020,02/02,-
152,2020.08.12,12769,"N27W82(835"",413"")",/,/,/,/,-
153,2020.08.13,12770,"N23W55(715"",310"")",α/α,Axx/Axx,0010/0010,01/02,-
154,2020.08.13,12771,"S18E32(-478"",-379"")",β/-,Bxo/---,0010/----,03/--,-
155,2020.08.13,12769,"N27W91(843"",428"")",/,/,/,/,-
156,2020.08.14,12771,"S18E20(-309"",-389"")",α/β,Axx/Bxo,0010/0010,01/03,-
157,2020.08.14,12770,"N22W67(809"",313"")",/α,/Axx,/0010,/01,-
158,2020.08.15,12770,"N26W82(843"",398"")",/,/,/,/,C2.1(06:32)  / -
159,2020.08.15,12771,"S18E06(-94"",-396"")",/α,/Axx,/0010,/01,-
160,2020.08.16,12770,"N26W91(851"",414"")",/,/,/,/,- / C2.1(06:32)
161,2020.08.16,12771,"S18W08(125"",-396"")",/,/,/,/,-
162,2020.08.17,12771,"S18W22(338"",-390"")",/,/,/,/,-
163,2020.08.18,12771,"S18W36(531"",-378"")",/,/,/,/,-
164,2020.08.19,12772,"N18W42(605"",211"")",β/-,Bxo/---,0010/----,02/--,-
165,2020.08.19,12771,"S18W44(627"",-369"")",/,/,/,/,-
166,2020.08.20,12772,"N18W51(702"",223"")",β/β,Cro/Bxo,0030/0010,05/02,-
167,2020.08.20,12771,"S18W56(748"",-351"")",/,/,/,/,-
168,2020.08.21,12772,"N17W74(872"",245"")",β/β,Bxo/Cro,0010/0030,03/05,-
169,2020.08.21,12771,"S18W77(879"",-315"")",/,/,/,/,-
170,2020.08.22,12771,"S18W91(901"",-288"")",/,/,/,/,-
171,2020.08.22,12772,"N17W88(906"",271"")",/β,/Bxo,/0010,/03,-
172,2020.08.23,12772,"N17W91(906"",277"")",/,/,/,/,-
173,2020.09.24,12773,"N28E49(-639"",379"")",β/-,Bxo/---,0010/----,03/--,-
174,2020.09.25,12773,"N28E35(-486"",363"")",/β,/Bxo,/0010,/03,-
175,2020.09.26,12773,"N27E18(-264"",335"")",α/,Axx/,0010/,01/,- / C1.1(23:59)
176,2020.09.27,12773,"N27E04(-59"",331"")",/α,/Axx,/0010,/01,-
177,2020.09.28,12773,"N27W10(148"",333"")",/,/,/,/,-
178,2020.09.29,12773,"N27W24(348"",341"")",/,/,/,/,-
179,2020.09.30,12773,"N27W38(527"",354"")",/,/,/,/,-
180,2020.10.01,12773,"N27W52(674"",372"")",/,/,/,/,-
181,2020.10.02,12773,"N27W66(781"",392"")",/,/,/,/,-
182,2020.10.03,12773,"N27W80(842"",415"")",/,/,/,/,-
183,2020.10.04,12773,"N27W91(854"",434"")",/,/,/,/,-
184,2020.10.05,12773,"N27W91(854"",434"")",/,/,/,/,-
185,2020.10.10,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day
186,2020.10.11,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day,No Data Available For This Day
187,2020.10.12,12774,"S24W57(737"",-439"")",α/α,Axx/Axx,0010/0010,01/01,-
188,2020.10.12,12775,"S23W18(274"",-463"")",β/β,Bxo/Cro,0030/0050,05/05,-
189,2020.10.13,12775,"S23W32(470"",-452"")",β/β,Bxo/Bxo,0030/0030,05/05,-
190,2020.10.13,12774,"S24W70(826"",-420"")",/α,/Axx,/0010,/01,-
191,2020.10.14,12774,"S24W85(875"",-396"")",/,/,/,/,-
192,2020.10.14,12775,"S23W46(638"",-437"")",/β,/Bxo,/0030,/05,-
193,2020.10.15,12776,"S13E59(-805"",-264"")",α/-,Axx/---,0010/----,02/--,-
194,2020.10.15,12774,"S24W91(878"",-387"")",/,/,/,/,-
195,2020.10.15,12775,"S23W55(726"",-426"")",/,/,/,/,-
196,2020.10.16,12776,"S12E53(-753"",-256"")",β/α,Cro/Axx,0030/0010,04/02,-
197,2020.10.16,12775,"S23W61(775"",-417"")",/,/,/,/,-
198,2020.10.17,12776,"S14E28(-440"",-313"")",β/β,Cao/Cro,0060/0030,04/04,-
199,2020.10.17,12775,"S23W85(882"",-381"")",/,/,/,/,- / C3.5(14:57) C1.5(12:46)
200,2020.10.18,12776,"S13E16(-259"",-304"")",β/β,Cao/Cao,0080/0060,05/04,-
201,2020.10.18,12775,"S23W91(885"",-372"")",/,/,/,/,-
202,2020.10.19,12776,"S14E01(-16"",-322"")",β/β,Cso/Cao,0100/0080,06/05,-
203,2020.10.19,12777,"S24W88(879"",-392"")",β/-,Bxo/---,0010/----,02/--,-
204,2020.10.20,12776,"S13W17(275"",-301"")",β/β,Cso/Cso,0080/0100,02/06,-
205,2020.10.20,12777,"S24W91(879"",-388"")",/β,/Bxo,/0010,/02,-
206,2020.10.21,12776,"S13W30(471"",-292"")",α/β,Hsx/Cso,0060/0080,01/02,-
207,2020.10.22,12776,"S14W45(663"",-293"")",α/α,Hsx/Hsx,0070/0060,01/01,-
208,2020.10.23,12776,"S14W59(803"",-275"")",α/α,Hsx/Hsx,0060/0070,01/01,-
209,2020.10.24,12776,"S14W71(885"",-259"")",α/α,Hsx/Hsx,0060/0060,01/01,-
210,2020.10.25,12776,"S14W82(927"",-243"")",α/α,Hsx/Hsx,0040/0060,01/01,-
211,2020.10.26,12776,"S14W91(935"",-231"")",α/α,Hsx/Hsx,0040/0040,01/01,-
212,2020.10.27,12778,"S19W29(444"",-380"")",β/-,Cai/---,0080/----,07/--,C1.5(13:31) C2.3(11:07)C1.4(09:47)C4.3(06:11)C1.4(04:32) / -
213,2020.10.28,12778,"S19W42(612"",-369"")",βγ/β,Dai/Cai,0140/0080,12/07,C1.1(02:00)  / -
214,2020.10.29,12778,"S20W56(754"",-370"")",βγ/βγ,Dai/Dai,0150/0140,11/12,-
215,2020.10.29,12779,"S15W45(661"",-302"")",β/-,Cai/---,0080/----,05/--,C1.3(15:53) C1.0(13:10)C4.3(11:30) / -
216,2020.10.30,12778,"S20W68(842"",-356"")",β/βγ,Eko/Dai,0300/0150,08/11,-
217,2020.10.30,12779,"S17W57(776"",-321"")",β/β,Dai/Cai,0140/0080,07/05,- / C1.5(20:00) C1.3(15:53)C1.0(13:10)C4.3(11:30)
218,2020.10.31,12778,"S20W82(899"",-339"")",β/β,Eao/Eko,0160/0300,06/08,-
219,2020.10.31,12779,"S15W69(872"",-275"")",β/β,Cao/Dai,0100/0140,06/07,-
220,2020.11.01,12778,"S22W91(895"",-359"")",α/β,Hax/Eao,0100/0160,02/06,C3.4(17:15)  / -
221,2020.11.01,12779,"S16W84(924"",-272"")",β/β,Bxo/Cao,0020/0100,04/06,C1.6(19:01)  / -
222,2020.11.02,12779,"S17W91(924"",-280"")",β/β,Bxo/Bxo,0010/0020,02/04,- / C1.6(19:01)
223,2020.11.03,12780,"N20E45(-644"",285"")",β/-,Bxo/---,0010/----,01/--,-
224,2020.11.04,12781,"S23E54(-721"",-414"")",β/-,Cso/---,0150/----,05/--,C1.0(20:04) C1.0(19:02)C1.8(16:58)C1.1(08:12)C1.1(04:32) / -
225,2020.11.04,12780,"N20E31(-469"",277"")",/β,/Bxo,/0010,/01,-
226,2020.11.05,12781,"S25E43(-599"",-452"")",β/β,Ehi/Cso,0410/0150,08/05,C1.0(14:19) C1.2(14:03)C1.7(13:17)C1.4(12:13)C2.3(09:38)C1.7(06:06) / -
227,2020.11.05,12780,"N20E17(-266"",272"")",/,/,/,/,-
228,2020.11.06,12780,"N20E03(-47"",272"")",α/,Axx/,0010/,01/,-
229,2020.11.06,12781,"S24E34(-496"",-442"")",β/β,Dki/Ehi,0450/0410,07/08,C1.1(17:40) C1.8(15:13)C1.3(10:26)C2.0(01:00)C1.7(00:47) / -
230,2020.11.07,12780,"N19W06(96"",257"")",α/α,Hrx/Axx,0010/0010,02/01,-
231,2020.11.07,12781,"S23E18(-276"",-432"")",βγ/β,Eki/Dki,0475/0450,13/07,C1.2(12:08)C1.8(06:12)/ C1.1(17:40)
232,2020.11.08,12780,"N20W18(282"",278"")",β/α,Bxo/Hrx,0010/0010,02/02,-
233,2020.11.08,12781,"S23E04(-62"",-434"")",βγ/βγ,Dki/Eki,0280/0475,15/13,C5.7(05:13)C2.3(01:09)/ C1.2(12:08) C1.8(06:12)
234,2020.11.09,12780,"N20W29(442"",284"")",β/β,Bxo/Bxo,0010/0010,02/02,-
235,2020.11.09,12781,"S23W09(140"",-431"")",β/βγ,Ehi/Dki,0250/0280,18/15,- / C5.7(05:13) C2.3(01:09)
236,2020.11.10,12781,"S23W21(320"",-427"")",β/β,Esi/Ehi,0230/0250,17/18,C1.3(19:36)  / -
237,2020.11.10,12780,"N20W43(622"",293"")",/β,/Bxo,/0010,/02,-
238,2020.11.11,12781,"S23W35(513"",-420"")",β/β,Eso/Esi,0230/0230,17/17,- / C1.3(19:36)
239,2020.11.11,12780,"N20W57(765"",304"")",/,/,/,/,-
240,2020.11.12,12781,"S23W47(654"",-411"")",β/β,Cso/Eso,0100/0230,02/17,-
241,2020.11.12,12782,"S31E52(-656"",-526"")",β/-,Cro/---,0020/----,03/--,C2.5(03:58) C1.2(02:06) / -
242,2020.11.12,12780,"N20W71(862"",315"")",/,/,/,/,-
243,2020.11.13,12781,"S24W64(797"",-414"")",α/β,Hsx/Cso,0080/0100,01/02,-
244,2020.11.13,12782,"S31E38(-513"",-533"")",β/β,Cro/Cro,0030/0020,06/03,- / C2.5(03:58) C1.2(02:06)
245,2020.11.13,12780,"N20W85(907"",327"")",/,/,/,/,-
246,2020.11.14,12781,"S23W78(873"",-387"")",α/α,Hsx/Hsx,0080/0080,01/01,-
247,2020.11.14,12782,"S31E25(-352"",-537"")",β/β,Bxo/Cro,0020/0030,03/06,-
248,2020.11.14,12780,"N20W91(910"",331"")",/,/,/,/,-
249,2020.11.15,12781,"S24W90(885"",-393"")",α/α,Hsx/Hsx,0050/0080,01/01,-
250,2020.11.15,12782,"S31E13(-187"",-539"")",/β,/Bxo,/0020,/03,-
251,2020.11.16,12782,"S31W01(14"",-538"")",/,/,/,/,-
252,2020.11.17,12782,"S31W15(216"",-536"")",/,/,/,/,-
253,2020.11.18,12783,"S22E56(-747"",-384"")",α/-,Hsx/---,0030/----,01/--,-
254,2020.11.18,12782,"S31W29(404"",-531"")",/,/,/,/,-
255,2020.11.19,12783,"S23E41(-587"",-406"")",α/α,Hsx/Hsx,0080/0030,01/01,-
256,2020.11.19,12782,"S31W43(568"",-524"")",/,/,/,/,-
257,2020.11.20,12783,"S22E28(-424"",-394"")",α/α,Hsx/Hsx,0070/0080,01/01,C1.9(16:44)  / -
258,2020.11.20,12782,"S23W45(633"",-403"")",/,/,/,/,-
259,2020.11.21,12783,"S23E15(-232"",-410"")",α/α,Hsx/Hsx,0070/0070,01/01,-
260,2020.11.21,12782,"S23W59(767"",-396"")",/,/,/,/,-
261,2020.11.22,12783,"S23E03(-46"",-410"")",α/α,Hsx/Hsx,0080/0070,01/01,-
262,2020.11.22,12784,"N33E16(-225"",504"")",β/-,Cro/---,0030/----,02/--,-
263,2020.11.22,12782,"S23W73(855"",-388"")",/,/,/,/,-
264,2020.11.23,12783,"S23W10(155"",-408"")",α/α,Hsx/Hsx,0070/0080,01/01,-
265,2020.11.23,12784,"N32E02(-28"",491"")",β/β,Bxo/Cro,0030/0030,03/02,-
266,2020.11.23,12785,"S23E62(-790"",-392"")",α/-,Hsx/---,0060/----,01/--,-
267,2020.11.23,12782,"S23W87(893"",-380"")",/,/,/,/,-
268,2020.11.24,12783,"S18W19(302"",-326"")",β/α,Dso/Hsx,0090/0070,06/01,-
269,2020.11.24,12785,"S22E45(-638"",-383"")",β/α,Cso/Hsx,0120/0060,01/01,- / C4.3(22:59) C1.4(22:49)
270,2020.11.24,12786,"S16E59(-802"",-281"")",α/-,Hsx/---,0120/----,01/--,-
271,2020.11.24,12782,"S23W91(894"",-378"")",/,/,/,/,-
272,2020.11.24,12784,"N32W11(157"",493"")",/β,/Bxo,/0030,/03,-
273,2020.11.25,12783,"S20W31(472"",-354"")",β/β,Cso/Dso,0100/0090,04/06,-
274,2020.11.25,12785,"S20E32(-485"",-353"")",α/β,Hsx/Cso,0140/0120,01/01,-
275,2020.11.25,12786,"S15E47(-688"",-269"")",β/α,Cko/Hsx,0380/0120,02/01,C3.4(03:47)  / -
276,2020.11.25,12784,"N32W25(349"",496"")",/,/,/,/,-
277,2020.11.26,12783,"S21W46(654"",-364"")",β/β,Cso/Cso,0080/0100,03/04,-
278,2020.11.26,12785,"S21E19(-296"",-370"")",α/α,Hsx/Hsx,0100/0140,01/01,-
279,2020.11.26,12786,"S17E41(-611"",-301"")",β/β,Cko/Cko,1000/0380,06/02,C1.0(15:35) C3.8(12:42)C1.8(06:52) / -
280,2020.11.26,12784,"N32W39(520"",501"")",/,/,/,/,-
281,2020.11.27,12783,"S22W59(774"",-375"")",β/β,Cso/Cso,0080/0080,03/03,-
282,2020.11.27,12785,"S21E06(-95"",-369"")",α/α,Hsx/Hsx,0100/0100,01/01,-
283,2020.11.27,12786,"S17E29(-452"",-303"")",βγ/β,Fko/Cko,0840/1000,09/06,C1.5(16:45)/ C1.0(15:35) C3.8(12:42)C1.8(06:52)
284,2020.11.27,12784,"N32W53(659"",505"")",/,/,/,/,-
285,2020.11.28,12783,"S22W71(853"",-370"")",β/β,Cso/Cso,0060/0080,03/03,C1.0(07:13)  / -
286,2020.11.28,12785,"S22W00(0"",-383"")",β/α,Cso/Hsx,0110/0100,02/01,-
287,2020.11.28,12786,"S18E17(-271"",-319"")",βγ/βγ,Fko/Fko,0800/0840,14/09,C1.2(17:29)C2.9(13:26)C1.5(01:21)/ C1.5(16:45)
288,2020.11.28,12787,"N29E52(-671"",462"")",α/-,Axx/---,0010/----,01/--,-
289,2020.11.28,12784,"N32W67(760"",509"")",/,/,/,/,-
290,2020.11.29,12783,"S22W87(900"",-365"")",α/β,Hsx/Cso,0050/0060,01/03,- / C1.0(07:13)
291,2020.11.29,12785,"S25W13(199"",-427"")",β/β,Fso/Cso,0120/0110,08/02,-
292,2020.11.29,12786,"S18E03(-48"",-317"")",βγ/βγ,Fko/Fko,0780/0800,17/14,C1.6(11:24)C1.3(00:59)C1.3(00:50)/ C3.1(22:59) C1.2(17:29)C2.9(13:26)C1.5(01:21)
293,2020.11.29,12787,"N29E39(-536"",461"")",α/α,Axx/Axx,0010/0010,01/01,-
