,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
20,2010.05.05,11068,"S19E51(-698"",-375"")",β/α,Bxo/Axx,0010/0000,02/01,-
21,2010.05.05,11069,"N42W40(454"",566"")",βγ/βγ,Dai/Dai,0050/0050,09/09,M1.2(17:13)C8.8(11:37)C2.3(07:09)/ C3.6(16:15)
22,2010.05.05,11070,"N21W22(333"",238"")",βγ/-,Bxo/---,0010/----,03/--,-
23,2010.05.06,11063,"N18W91(901"",292"")",βγ/β,Bxo/Bxo,0010/0010,02/03,-
24,2010.05.06,11066,"S26W36(502"",-497"")",αγ/β,Axx/Bxo,0010/0010,01/03,-
25,2010.05.06,11067,"N23W01(15"",263"")",βγ/β,Bxo/Dro,0010/0020,03/03,-
26,2010.05.06,11068,"S21E40(-570"",-420"")",αγ/β,Axx/Bxo,0010/0010,01/02,-
27,2010.05.06,11069,"N41W53(572"",566"")",βγ/βγ,Dai/Dai,0170/0050,07/09,- / M1.2(17:13) C8.8(11:37)C2.3(07:09)
28,2010.05.06,11070,"N21W22(333"",238"")",βγ/βγ,Bxo/Bxo,0010/0010,03/03,-
29,2010.05.07,11067,"N23W11(167"",265"")",βγ/βγ,Bxo/Bxo,0010/0010,02/03,-
30,2010.05.07,11068,"S20E27(-405"",-419"")",βγ/αγ,Bxo/Axx,0010/0010,04/01,-
31,2010.05.07,11069,"N42W64(634"",593"")",βγ/βγ,Esi/Dai,0080/0170,09/07,C2.0(07:29)  / -
32,2010.05.08,11068,"S19E14(-217"",-413"")",αγ/βγ,Axx/Bxo,0000/0010,01/04,-
33,2010.05.08,11069,"N42W80(694"",615"")",βγ/βγ,Cso/Esi,0030/0080,03/09,C2.4(20:04)C1.8(11:40)C9.3(04:51)/ C2.0(07:29)
34,2010.05.08,11071,"S20W56(740"",-383"")",α/-,Axx/---,0000/----,01/--,-
35,2010.05.09,11069,"N41W91(715"",619"")",β/βγ,Cso/Cso,0030/0030,02/03,-
36,2010.05.09,11071,"S20W56(740"",-383"")",α/α,Axx/Axx,0000/0000,01/01,-
37,2010.05.10,11064,"N15W91(916"",245"")",/,/,/,/,-
38,2010.05.10,11066,"S21W88(885"",-341"")",/,/,/,/,-
39,2010.05.10,11067,"N23W50(671"",299"")",/,/,/,/,-
40,2010.05.10,11068,"S19W12(187"",-416"")",/,/,/,/,-
41,2010.05.10,11069,"N41W91(716"",619"")",/β,/Cso,/0030,/02,-
42,2010.05.10,11070,"N21W74(852"",307"")",/,/,/,/,-
43,2010.05.10,11071,"S20W69(833"",-361"")",/α,/Axx,/0000,/01,-
44,2010.05.11,11066,"S21W91(885"",-335"")",/,/,/,/,-
45,2010.05.11,11067,"N23W63(780"",319"")",/,/,/,/,-
46,2010.05.11,11068,"S19W25(380"",-408"")",/,/,/,/,-
47,2010.05.11,11070,"N21W87(885"",331"")",/,/,/,/,-
48,2010.05.11,11071,"S20W82(883"",-337"")",/,/,/,/,-
49,2010.05.12,11067,"N23W76(848"",342"")",/,/,/,/,-
50,2010.05.12,11068,"S19W38(554"",-395"")",/,/,/,/,-
51,2010.05.12,11070,"N21W91(885"",339"")",/,/,/,/,-
52,2010.05.12,11071,"S20W91(891"",-320"")",/,/,/,/,-
53,2010.05.13,11067,"N23W89(873"",366"")",/,/,/,/,-
54,2010.05.13,11068,"S19W51(699"",-377"")",/,/,/,/,-
55,2010.05.13,11071,"S20W91(891"",-320"")",/,/,/,/,-
56,2010.05.14,11067,"N23W91(873"",369"")",/,/,/,/,-
57,2010.05.14,11068,"S19W64(807"",-355"")",/,/,/,/,-
58,2010.05.15,11068,"S19W77(875"",-331"")",/,/,/,/,-
59,2010.05.16,11068,"S19W90(897"",-306"")",/,/,/,/,-
60,2010.05.17,11068,"S19W91(896"",-304"")",/,/,/,/,-
61,2010.05.22,11072,"S16W00(0"",-234"")",β/-,Bxo/---,0030/----,05/--,-
62,2010.05.23,11072,"S16W06(95"",-372"")",β/β,Cao/Bxo,0100/0030,10/05,-
63,2010.05.24,11072,"S15W23(359"",-349"")",β/β,Dsi/Cao,0130/0100,13/10,-
64,2010.05.25,11072,"S15W36(540"",-336"")",β/β,Cso/Dsi,0090/0130,07/13,-
65,2010.05.26,11072,"S15W50(704"",-317"")",β/β,Cso/Cso,0060/0090,06/07,-
66,2010.05.27,11072,"S23W66(799"",-412"")",α/β,Hsx/Cso,0050/0060,01/06,-
67,2010.05.28,11072,"S15W79(900"",-265"")",α/α,Hsx/Hsx,0040/0050,01/01,-
68,2010.05.29,11072,"S15W91(916"",-241"")",β/α,Hax/Hsx,0045/0040,02/01,-
69,2010.05.30,11073,"N13E21(-332"",105"")",β/-,Bxo/---,0020/----,05/--,-
70,2010.05.30,11074,"N19W71(849"",271"")",β/-,Bxo/---,0010/----,03/--,-
71,2010.05.30,11075,"S20W16(246"",-429"")",β/-,Bxo/---,0020/----,05/--,-
72,2010.05.31,11073,"N13E07(-113"",99"")",β/β,Bxo/Bxo,0020/0020,06/05,-
73,2010.05.31,11074,"N17W86(905"",267"")",α/β,Axx/Bxo,0010/0010,02/03,-
74,2010.05.31,11075,"S20W30(447"",-418"")",β/β,Bxo/Bxo,0010/0020,02/05,-
75,2010.06.01,11073,"N12W05(81"",82"")",β/β,Bxo/Bxo,0010/0020,03/06,-
76,2010.06.01,11075,"S19W46(647"",-384"")",α/β,Axx/Bxo,0000/0010,01/02,-
77,2010.06.01,11076,"S19W07(109"",-418"")",β/-,Bxo/---,0020/----,05/--,-
78,2010.06.01,11074,"N17W91(907"",277"")",/α,/Axx,/0010,/02,-
79,2010.06.02,11076,"S20W20(306"",-427"")",β/β,Bxo/Bxo,0020/0020,04/05,-
80,2010.06.02,11073,"N12W18(288"",87"")",/β,/Bxo,/0010,/03,-
81,2010.06.02,11075,"S19W59(770"",-364"")",/α,/Axx,/0000,/01,-
82,2010.06.03,11076,"S19W36(529"",-397"")",β/β,Dai/Bxo,0040/0020,08/04,-
83,2010.06.03,11073,"N12W31(480"",98"")",/,/,/,/,-
84,2010.06.03,11075,"S19W72(854"",-341"")",/,/,/,/,-
85,2010.06.04,11076,"S27W42(567"",-506"")",β/β,Dho/Dai,0190/0040,07/08,-
86,2010.06.04,11073,"N19W44(625"",227"")",/,/,/,/,-
87,2010.06.04,11075,"S19W85(894"",-316"")",/,/,/,/,-
88,2010.06.05,11076,"S19W63(800"",-356"")",β/β,Dso/Dho,0070/0190,08/07,-
89,2010.06.05,11077,"N20W61(781"",270"")",α/-,Axx/---,0010/----,01/--,-
90,2010.06.06,11076,"S19W75(866"",-334"")",β/β,Bxo/Dso,0015/0070,04/08,-
91,2010.06.06,11077,"N20W61(781"",270"")",α/α,Axx/Axx,0010/0010,01/01,-
92,2010.06.07,11076,"S19W88(895"",-310"")",β/β,Dro/Bxo,0090/0015,02/04,-
93,2010.06.08,11076,"S19W91(896"",-304"")",β/β,Bxo/Dro,0020/0090,02/02,-
94,2010.06.08,11078,"S22W59(755"",-408"")",β/-,Cro/---,0080/----,02/--,-
95,2010.06.09,11078,"S22W59(755"",-408"")",β/β,Cro/Cro,0080/0080,02/02,-
96,2010.06.09,11079,"S26W50(654"",-480"")",βγ/-,Bxo/---,0010/----,02/--,-
97,2010.06.10,11078,"S21W74(851"",-367"")",βγ/β,Dsi/Cro,0180/0080,06/02,-
98,2010.06.10,11079,"S26W50(654"",-480"")",βγ/βγ,Bxo/Bxo,0010/0010,02/02,-
99,2010.06.10,11080,"S25W53(687"",-461"")",βγ/-,Bxo/---,0010/----,05/--,-
100,2010.06.11,11078,"S22W87(877"",-358"")",βγ/βγ,Dao/Dsi,0200/0180,05/06,-
101,2010.06.11,11079,"S26W69(796"",-450"")",αγ/βγ,Axx/Bxo,0000/0010,01/02,-
102,2010.06.11,11080,"S25W53(687"",-461"")",βγ/βγ,Bxo/Bxo,0010/0010,05/05,-
103,2010.06.11,11081,"N22W57(739"",295"")",βγ/-,Bxo/---,0050/----,08/--,-
104,2010.06.12,11078,"S22W91(878"",-350"")",αγ/βγ,Axx/Dao,0005/0200,01/05,-
105,2010.06.12,11079,"S24W91(865"",-380"")",β/αγ,Bxo/Axx,0010/0000,02/01,-
106,2010.06.12,11080,"S23W68(810"",-407"")",βγ/βγ,Dai/Bxo,0100/0010,04/05,-
107,2010.06.12,11081,"N22W57(739"",295"")",βγ/βγ,Bxo/Bxo,0050/0050,08/08,C6.1(09:02) C1.0(03:57) / -
108,2010.06.13,11079,"S24W91(865"",-380"")",β/β,Bxo/Bxo,0010/0010,02/02,C1.2(07:31)M1.0(05:30)  / -
109,2010.06.13,11080,"S23W81(862"",-384"")",β/βγ,Dro/Dai,0050/0100,04/04,C1.2(07:05)  / -
110,2010.06.13,11081,"N24W72(825"",350"")",β/βγ,Dro/Bxo,0080/0050,10/08,C1.5(10:47)C1.7(09:41)C1.2(08:06)C1.2(06:08)/ C6.1(09:02) C1.0(03:57)
111,2010.06.14,11079,"S23W91(872"",-365"")",α/β,Axx/Bxo,0010/0010,04/02,C1.2(07:31)- / M1.0(05:30)
112,2010.06.14,11080,"S24W91(865"",-380"")",α/β,Axx/Dro,0010/0050,04/04,- / C1.2(07:05)
113,2010.06.14,11081,"N24W90(866"",382"")",β/β,Dao/Dro,0090/0080,08/10,C1.5(00:44)/ C1.5(10:47) C1.7(09:41)C1.2(08:06)C1.2(06:08)
114,2010.06.15,11081,"N25W91(859"",399"")",β/β,Bxo/Dao,0010/0090,02/08,- / C1.5(00:44)
115,2010.06.18,11082,"N28E19(-273"",347"")",β/β,Bxo/Bxo,0010/0010,04/04,-
116,2010.06.19,11082,"N29E08(-115"",358"")",α/β,Axx/Bxo,0010/0010,06/04,-
117,2010.06.19,11083,"N19W36(528"",219"")",β/-,Bxo/---,0010/----,04/--,-
118,2010.06.20,11082,"N29W04(58"",357"")",β/α,Cro/Axx,0010/0010,04/06,-
119,2010.06.20,11083,"N19W36(528"",219"")",β/β,Bxo/Bxo,0010/0010,04/04,-
120,2010.06.21,11082,"N27W19(276"",331"")",β/β,Dso/Cro,0030/0010,03/04,-
121,2010.06.22,11082,"N27W37(510"",346"")",β/β,Dro/Dso,0040/0030,04/03,-
122,2010.06.23,11082,"N26W51(664"",348"")",β/β,Cso/Dro,0030/0040,04/04,-
123,2010.06.24,11082,"N26W66(780"",371"")",β/β,Cao/Cso,0020/0030,04/04,-
124,2010.06.25,11082,"N27W79(830"",408"")",β/β,Bxo/Cao,0010/0020,03/04,-
125,2010.06.26,11082,"N26W91(852"",414"")",α/β,Axx/Bxo,0000/0010,02/03,-
126,2010.06.27,11084,"S19E45(-635"",-384"")",α/-,Hsx/---,0090/----,01/--,-
127,2010.06.28,11084,"S19E45(-635"",-384"")",α/α,Hsx/Hsx,0090/0090,01/01,-
128,2010.06.29,11084,"S19E32(-476"",-399"")",α/α,Hsx/Hsx,0090/0090,01/01,-
129,2010.06.29,11085,"S23W38(539"",-452"")",β/-,Cro/---,0010/----,03/--,-
130,2010.06.30,11084,"S19E20(-307"",-410"")",α/α,Hsx/Hsx,0100/0090,01/01,-
131,2010.06.30,11085,"S23W38(539"",-452"")",β/β,Cro/Cro,0010/0010,03/03,-
132,2010.07.01,11084,"S19E05(-78"",-416"")",α/α,Hsx/Hsx,0110/0100,01/01,-
133,2010.07.02,11084,"S19W07(109"",-415"")",α/α,Hsx/Hsx,0110/0110,01/01,-
134,2010.07.03,11084,"S20W20(305"",-424"")",α/α,Hsx/Hsx,0100/0110,01/01,-
135,2010.07.04,11084,"S19W33(489"",-398"")",α/α,Hsx/Hsx,0150/0100,01/01,-
136,2010.07.05,11084,"S19W46(646"",-382"")",α/α,Hsx/Hsx,0110/0150,01/01,-
137,2010.07.05,11086,"N18W67(831"",248"")",β/-,Bxo/---,0010/----,02/--,-
138,2010.07.06,11084,"S19W60(777"",-361"")",α/α,Hsx/Hsx,0100/0110,01/01,-
139,2010.07.06,11086,"N18W67(831"",248"")",β/β,Bxo/Bxo,0010/0010,02/02,-
140,2010.07.07,11084,"S19W73(858"",-338"")",α/α,Hsx/Hsx,0110/0100,01/01,-
141,2010.07.07,11086,"N18W79(886"",270"")",β/β,Bxo/Bxo,0010/0010,02/02,-
142,2010.07.08,11084,"S19W85(893"",-315"")",α/α,Hsx/Hsx,0100/0110,01/01,-
143,2010.07.08,11086,"N18W91(901"",292"")",α/β,Hrx/Bxo,0010/0010,01/02,-
144,2010.07.09,11084,"S19W91(896"",-304"")",α/α,Hsx/Hsx,0050/0100,01/01,-
145,2010.07.09,11087,"N18E58(-766"",233"")",β/-,Dro/---,0030/----,02/--,-
146,2010.07.10,11087,"N18E58(-766"",233"")",β/β,Dro/Dro,0030/0030,02/02,-
147,2010.07.11,11087,"N19E43(-613"",227"")",β/β,Dro/Dro,0100/0030,08/02,-
148,2010.07.12,11087,"N19E30(-450"",213"")",β/β,Ero/Dro,0120/0100,15/08,-
149,2010.07.13,11087,"N21E16(-245"",235"")",βδ/β,Dao/Ero,0130/0120,12/15,C2.6(10:43)  / -
150,2010.07.13,11088,"S21W02(31"",-446"")",αδ/-,Axx/---,0010/----,01/--,-
151,2010.07.14,11087,"N21E06(-92"",231"")",βδ/βδ,Dso/Dao,0070/0130,07/12,C3.6(20:31)C1.4(12:11)/ C2.6(10:43)
152,2010.07.14,11088,"S21W02(31"",-446"")",αδ/αδ,Axx/Axx,0010/0010,01/01,-
153,2010.07.15,11087,"N20W06(93"",215"")",βγ/βδ,Dso/Dso,0100/0070,06/07,- / C3.6(20:31) C1.4(12:11)
154,2010.07.16,11087,"N19W19(293"",204"")",βγ/βγ,Cso/Dso,0060/0100,05/06,-
155,2010.07.17,11087,"N20W33(487"",232"")",βγ/βγ,Eso/Cso,0050/0060,07/05,C2.4(17:27)  / -
156,2010.07.18,11087,"N23W47(640"",296"")",α/βγ,Hsx/Eso,0020/0050,03/07,-
157,2010.07.19,11087,"N24W62(766"",334"")",α/α,Axx/Hsx,0010/0020,02/03,-
158,2010.07.19,11089,"S23E56(-725"",-427"")",β/-,Cso/---,0130/----,04/--,-
159,2010.07.20,11087,"N17W75(877"",247"")",α/α,Axx/Axx,0010/0010,01/02,-
160,2010.07.20,11089,"S23E56(-725"",-427"")",β/β,Cso/Cso,0130/0130,04/04,C1.4(13:38)  / -
161,2010.07.21,11087,"N16W91(911"",261"")",α/α,Axx/Axx,0010/0010,03/01,-
162,2010.07.21,11089,"S24E44(-603"",-459"")",β/β,Dao/Cso,0150/0130,09/04,-
163,2010.07.22,11087,"N18W91(901"",292"")",α/α,Axx/Axx,0010/0010,02/03,-
164,2010.07.22,11089,"S24E32(-460"",-473"")",β/β,Dsi/Dao,0310/0150,16/09,-
165,2010.07.23,11089,"S23E19(-285"",-469"")",β/β,Dsi/Dsi,0240/0310,29/16,-
166,2010.07.24,11089,"S24E06(-90"",-489"")",β/β,Esi/Dsi,0200/0240,35/29,-
167,2010.07.24,11090,"N23E44(-608"",292"")",α/-,Axx/---,0000/----,01/--,-
168,2010.07.25,11089,"S23W08(121"",-474"")",β/β,Esi/Esi,0160/0200,20/35,-
169,2010.07.25,11090,"N23E44(-608"",292"")",α/α,Axx/Axx,0000/0000,01/01,-
170,2010.07.26,11089,"S24W22(325"",-481"")",β/β,Dsi/Esi,0140/0160,16/20,-
171,2010.07.26,11090,"N23E29(-424"",276"")",β/α,Bxo/Axx,0010/0000,03/01,-
172,2010.07.26,11091,"N12W87(926"",189"")",α/-,Axx/---,0000/----,01/--,-
173,2010.07.27,11089,"S24W35(498"",-470"")",β/β,Dsi/Dsi,0100/0140,07/16,C2.2(04:12)  / -
174,2010.07.27,11090,"N22E15(-228"",250"")",α/β,Axx/Bxo,0000/0010,01/03,-
175,2010.07.27,11091,"N12W87(926"",189"")",α/α,Axx/Axx,0000/0000,01/01,-
176,2010.07.28,11089,"S24W49(655"",-452"")",β/β,Dso/Dsi,0070/0100,05/07,C2.8(20:33)/ C2.2(04:12)
177,2010.07.28,11092,"N16E62(-806"",208"")",β/-,Cso/---,0180/----,02/--,-
178,2010.07.29,11089,"S24W62(766"",-432"")",β/β,Eao/Dso,0090/0070,09/05,- / C2.8(20:33)
179,2010.07.29,11092,"N16E62(-806"",208"")",β/β,Cso/Cso,0180/0180,02/02,-
180,2010.07.30,11089,"S24W76(841"",-408"")",β/β,Cao/Eao,0140/0090,09/09,-
181,2010.07.30,11092,"N14E49(-696"",155"")",β/β,Cso/Cso,0210/0180,02/02,-
182,2010.07.31,11089,"S23W87(871"",-373"")",β/β,Bxo/Cao,0040/0140,05/09,-
183,2010.07.31,11092,"N15E35(-527"",153"")",β/β,Cso/Cso,0170/0210,04/02,-
184,2010.08.01,11092,"N13E21(-332"",107"")",α/β,Hkx/Cso,0230/0170,02/04,C3.2(07:24)  / -
185,2010.08.02,11092,"N13E07(-113"",101"")",α/α,Hkx/Hkx,0290/0230,03/02,-
186,2010.08.03,11092,"N16W04(63"",150"")",β/α,Cho/Hkx,0280/0290,07/03,-
187,2010.08.04,11092,"N15W18(284"",138"")",β/β,Cho/Cho,0190/0280,03/07,-
188,2010.08.04,11093,"N10E51(-727"",92"")",β/-,Cao/---,0100/----,03/--,-
189,2010.08.05,11092,"N14W29(447"",130"")",β/β,Cso/Cho,0180/0190,04/03,-
190,2010.08.05,11093,"N10E51(-727"",92"")",β/β,Cao/Cao,0100/0100,03/03,-
191,2010.08.05,11094,"N25W72(818"",366"")",β/-,Cso/---,0050/----,07/--,-
192,2010.08.05,11095,"S18E32(-479"",-384"")",β/-,Bxo/---,0010/----,02/--,-
193,2010.08.06,11092,"N13W47(677"",135"")",α/β,Hsx/Cso,0200/0180,01/04,-
194,2010.08.06,11093,"N11E44(-648"",98"")",β/β,Cao/Cao,0170/0100,04/03,-
195,2010.08.06,11094,"N25W72(818"",366"")",β/β,Cso/Cso,0050/0050,07/07,-
196,2010.08.06,11095,"S18E32(-479"",-384"")",β/β,Bxo/Bxo,0010/0010,02/02,-
197,2010.08.07,11092,"N12W60(805"",139"")",α/α,Hhx/Hsx,0210/0200,01/01,-
198,2010.08.07,11093,"N12E31(-479"",99"")",β/β,Cso/Cao,0180/0170,03/04,M1.0(17:55)  / -
199,2010.08.07,11094,"N26W85(849"",403"")",β/β,Bxo/Cso,0030/0050,03/07,-
200,2010.08.07,11095,"S19E20(-307"",-410"")",α/β,Hax/Bxo,0010/0010,02/02,-
201,2010.08.08,11092,"N13W74(889"",181"")",α/α,Hsx/Hhx,0130/0210,01/01,-
202,2010.08.08,11093,"N10E16(-258"",55"")",α/β,Hsx/Cso,0130/0180,01/03,- / M1.0(17:55)
203,2010.08.08,11094,"N25W91(859"",399"")",β/β,Bxo/Bxo,0030/0030,03/03,-
204,2010.08.08,11095,"S18E05(-78"",-401"")",α/α,Axx/Hax,0010/0010,02/02,-
205,2010.08.08,11096,"N22W19(287"",253"")",α/-,Axx/---,0000/----,01/--,-
206,2010.08.09,11092,"N13W88(923"",207"")",α/α,Hsx/Hsx,0180/0130,01/01,-
207,2010.08.09,11093,"N11E01(-16"",67"")",β/α,Cso/Hsx,0140/0130,02/01,-
208,2010.08.09,11095,"S17W06(95"",-386"")",α/α,Hrx/Axx,0010/0010,02/02,-
209,2010.08.09,11096,"N22W19(287"",253"")",α/α,Axx/Axx,0000/0000,01/01,-
210,2010.08.10,11092,"N12W91(927"",197"")",α/α,Hsx/Hsx,0200/0180,01/01,-
211,2010.08.10,11093,"N10W12(195"",53"")",α/β,Hsx/Cso,0150/0140,02/02,-
212,2010.08.10,11095,"S18W20(309"",-395"")",α/α,Hsx/Hrx,0010/0010,02/02,-
213,2010.08.10,11096,"N22W34(493"",265"")",β/α,Bxo/Axx,0020/0000,08/01,-
214,2010.08.10,11097,"N33E58(-675"",462"")",α/-,Axx/---,0010/----,01/--,-
215,2010.08.11,11093,"N10W26(411"",62"")",α/α,Hsx/Hsx,0130/0150,02/02,-
216,2010.08.11,11095,"S17W34(508"",-367"")",α/α,Axx/Hsx,0010/0010,01/02,-
217,2010.08.11,11096,"N21W47(649"",265"")",β/β,Cri/Bxo,0060/0020,12/08,-
218,2010.08.11,11097,"N33E58(-675"",462"")",α/α,Axx/Axx,0010/0010,01/01,-
219,2010.08.11,11098,"N15E14(-222"",136"")",β/-,Dro/---,0030/----,05/--,-
220,2010.08.12,11093,"N10W39(589"",75"")",α/α,Hsx/Hsx,0110/0130,02/02,-
221,2010.08.12,11095,"S17W47(665"",-351"")",α/α,Axx/Axx,0010/0010,01/01,-
222,2010.08.12,11096,"N21W60(768"",284"")",β/β,Bxo/Cri,0040/0060,07/12,-
223,2010.08.12,11097,"N33E42(-533"",442"")",α/α,Axx/Axx,0010/0010,01/01,-
224,2010.08.12,11098,"N15E14(-222"",136"")",β/β,Dro/Dro,0030/0030,05/05,-
225,2010.08.13,11093,"N10W52(737"",94"")",α/α,Hkx/Hsx,0250/0110,02/02,-
226,2010.08.13,11096,"N22W69(822"",314"")",α/β,Axx/Bxo,0000/0040,01/07,-
227,2010.08.13,11097,"N32E30(-403"",415"")",α/α,Axx/Axx,0000/0010,01/01,-
228,2010.08.13,11098,"N14W00(0"",116"")",β/β,Cro/Dro,0040/0030,06/05,-
229,2010.08.13,11099,"N17W55(744"",212"")",β/-,Bxo/---,0010/----,13/--,-
230,2010.08.14,11093,"N11W65(845"",132"")",α/α,Hsx/Hkx,0090/0250,02/02,-
231,2010.08.14,11098,"N15W13(206"",136"")",β/β,Cro/Cro,0020/0040,06/06,-
232,2010.08.14,11099,"N17W55(744"",212"")",β/β,Bxo/Bxo,0010/0010,13/13,-
233,2010.08.15,11093,"N11W79(914"",158"")",α/α,Hsx/Hsx,0080/0090,03/02,-
234,2010.08.15,11099,"N18W72(858"",257"")",β/β,Cro/Bxo,0070/0010,08/13,-
235,2010.08.16,11093,"N11W91(930"",181"")",α/α,Hsx/Hsx,0040/0080,02/03,-
236,2010.08.16,11098,"N15W55(752"",180"")",β/-,Cro/---,0030/----,04/--,-
237,2010.08.16,11099,"N18W87(900"",285"")",β/β,Cri/Cro,0090/0070,11/08,C1.4(16:34)/ C5.4(18:23)
238,2010.08.16,11100,"S24E45(-614"",-458"")",α/-,Axx/---,0010/----,01/--,-
239,2010.08.17,11098,"N15W55(752"",180"")",β/β,Cro/Cro,0030/0030,04/04,-
240,2010.08.17,11099,"N17W91(906"",277"")",β/β,Bxo/Cri,0060/0090,04/11,- / C1.4(16:34)
241,2010.08.17,11100,"S24E45(-614"",-458"")",α/α,Axx/Axx,0010/0010,01/01,-
242,2010.08.18,11098,"N14W69(860"",188"")",β/β,Bxo/Cro,0010/0030,05/04,-
243,2010.08.18,11100,"S23E35(-502"",-455"")",α/α,Axx/Axx,0010/0010,01/01,-
244,2010.08.19,11098,"N14W81(909"",210"")",β/β,Bxo/Bxo,0010/0010,02/05,-
245,2010.08.19,11100,"S22E22(-330"",-452"")",α/α,Axx/Axx,0010/0010,01/01,-
246,2010.08.20,11100,"S23E08(-121"",-474"")",α/α,Axx/Axx,0000/0010,01/01,-
247,2010.08.21,11100,"S27W09(132"",-530"")",α/α,Axx/Axx,0000/0000,01/01,-
248,2010.08.22,11097,"N28W87(837"",436"")",/,/,/,/,-
249,2010.08.22,11100,"S27W22(317"",-526"")",/α,/Axx,/0000,/01,-
250,2010.08.23,11097,"N28W91(837"",444"")",/,/,/,/,-
251,2010.08.23,11100,"S27W35(486"",-514"")",/,/,/,/,-
252,2010.08.24,11100,"S27W48(629"",-498"")",/,/,/,/,-
253,2010.08.25,11100,"S19W78(877"",-329"")",α/-,Axx/---,0010/----,02/--,-
254,2010.08.25,11101,"N12E65(-842"",148"")",α/α,Hrx/Hrx,0030/0030,01/01,-
255,2010.08.26,11100,"S19W78(877"",-329"")",α/α,Axx/Axx,0010/0010,02/02,-
256,2010.08.26,11101,"N12E47(-680"",119"")",α/α,Hsx/Hrx,0090/0030,01/01,-
257,2010.08.27,11100,"S20W91(890"",-319"")",α/α,Axx/Axx,0010/0010,02/02,-
258,2010.08.27,11101,"N13E34(-518"",119"")",α/α,Hsx/Hsx,0090/0090,01/01,-
259,2010.08.28,11101,"N12E20(-318"",90"")",α/α,Hsx/Hsx,0100/0090,01/01,-
260,2010.08.29,11101,"N12E07(-113"",84"")",α/α,Hsx/Hsx,0130/0100,01/01,-
261,2010.08.29,11102,"N27W27(385"",337"")",β/-,Cro/---,0030/----,04/--,-
262,2010.08.30,11101,"N12W07(113"",84"")",α/α,Hrx/Hsx,0140/0130,01/01,-
263,2010.08.30,11102,"N27W27(385"",337"")",β/β,Cro/Cro,0030/0030,04/04,-
264,2010.08.31,11101,"N13W20(317"",107"")",α/α,Hrx/Hrx,0110/0140,01/01,-
265,2010.08.31,11102,"N28W40(539"",365"")",β/β,Dro/Cro,0070/0030,07/04,-
266,2010.09.01,11101,"N12W33(507"",101"")",α/α,Hrx/Hrx,0140/0110,01/01,-
267,2010.09.01,11102,"N28W54(679"",383"")",β/β,Cro/Dro,0080/0070,06/07,-
268,2010.09.01,11103,"N25W46(620"",326"")",β/-,Bxo/---,0010/----,02/--,-
269,2010.09.01,11104,"N24W41(570"",304"")",β/-,Bxo/---,0010/----,02/--,-
270,2010.09.02,11101,"N12W46(669"",118"")",β/α,Cso/Hrx,0150/0140,02/01,-
271,2010.09.02,11102,"N26W66(780"",371"")",β/β,Cao/Cro,0100/0080,05/06,-
272,2010.09.02,11103,"N25W46(620"",326"")",β/β,Bxo/Bxo,0010/0010,02/02,-
273,2010.09.02,11104,"N24W41(570"",304"")",β/β,Bxo/Bxo,0010/0010,02/02,-
274,2010.09.02,11105,"N19W23(351"",207"")",β/-,Bxo/---,0010/----,04/--,-
