,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
0,2010.05.01,11064,"N15E14(-222"",136"")",β/β,Bxo/Bxo,0020/0020,02/02,-
1,2010.05.02,11064,"N16E01(-15"",149"")",β/β,Cro/Bxo,0010/0020,03/02,-
2,2010.05.02,11065,"S32W30(403"",-584"")",α/-,Axx/---,0000/----,01/--,-
3,2010.05.02,11066,"S27E02(-29"",-531"")",α/-,Axx/---,0000/----,01/--,-
4,2010.05.02,11067,"N23E41(-574"",289"")",β/-,Bxo/---,0020/----,04/--,-
5,2010.05.03,11063,"N18W66(825"",246"")",β/-,Bxo/---,0010/----,02/--,-
6,2010.05.03,11064,"N15W12(191"",135"")",α/β,Axx/Cro,0000/0010,01/03,-
7,2010.05.03,11065,"S32W30(403"",-584"")",α/α,Axx/Axx,0000/0000,01/01,-
8,2010.05.03,11066,"S27E02(-29"",-531"")",α/α,Axx/Axx,0000/0000,01/01,-
9,2010.05.03,11067,"N23E41(-574"",289"")",β/β,Bxo/Bxo,0020/0020,04/04,-
10,2010.05.03,11068,"S19E62(-793"",-358"")",α/-,Axx/---,0000/----,01/--,-
11,2010.05.04,11063,"N18W66(825"",246"")",β/β,Bxo/Bxo,0010/0010,02/02,-
12,2010.05.04,11065,"S32W43(549"",-571"")",α/α,Axx/Axx,0000/0000,01/01,-
13,2010.05.04,11066,"S27W09(132"",-530"")",β/α,Cro/Axx,0020/0000,05/01,-
14,2010.05.04,11067,"N23E24(-356"",272"")",β/β,Cso/Bxo,0020/0020,02/04,-
15,2010.05.04,11068,"S19E62(-793"",-358"")",α/α,Axx/Axx,0000/0000,01/01,-
16,2010.05.04,11069,"N42W40(454"",566"")",βγ/-,Dai/---,0050/----,09/--,-
17,2010.05.05,11063,"N18W80(888"",272"")",β/β,Bxo/Bxo,0010/0010,03/02,-
18,2010.05.05,11066,"S26W21(306"",-510"")",β/β,Bxo/Cro,0010/0020,03/05,-
19,2010.05.05,11067,"N23E10(-152"",264"")",β/β,Dro/Cso,0020/0020,03/02,-
