,Date,NOAA Number,Latest Position,Hale Class,McIntosh Class,Sunspot Area [millionths],Number of Spots,Recent Flares
0,2021.01.01,12794,"S16W80(924"",-259"")",α/α,Hsx/Hsx,0180/0170,01/01,-
1,2021.01.01,12795,"S18W50(712"",-269"")",β/β,Bxo/Cro,0030/0040,04/05,-
2,2021.01.02,12794,"S16W91(937"",-269"")",α/α,Hsx/Hsx,0180/0180,01/01,-
3,2021.01.02,12795,"S17W63(832"",-261"")",β/β,Bxo/Bxo,0010/0030,02/04,-
4,2021.01.03,12794,"S16W91(937"",-269"")",α/α,Hsx/Hsx,0120/0180,01/01,-
5,2021.01.03,12795,"S18W80(914"",-291"")",α/β,Axx/Bxo,0000/0010,01/02,-
6,2021.01.04,12795,"S18W91(927"",-301"")",/α,/Axx,/0000,/01,-
7,2021.01.05,12795,"S18W91(927"",-301"")",/,/,/,/,-
8,2021.01.16,12796,"S21W19(297"",-278"")",β/-,Cro/---,0020/----,03/--,-
9,2021.01.17,12796,"S21W32(484"",-284"")",β/β,Bxo/Cro,0010/0020,05/03,-
10,2021.01.18,12796,"S21W44(634"",-292"")",α/β,Axx/Bxo,0010/0010,01/05,-
11,2021.01.18,12797,"S18E64(-834"",-265"")",α/-,Hsx/---,0090/----,02/--,-
12,2021.01.19,12797,"S17E55(-765"",-237"")",β/α,Cao/Hsx,0120/0090,03/02,C1.0(17:46)  / -
13,2021.01.19,12796,"S21W58(773"",-306"")",/α,/Axx,/0010,/01,-
14,2021.01.20,12797,"S17E43(-637"",-223"")",β/β,Cao/Cao,0120/0120,04/03,- / C1.0(17:46)
15,2021.01.20,12796,"S21W72(866"",-323"")",/,/,/,/,-
16,2021.01.21,12797,"S18E25(-393"",-224"")",α/β,Hsx/Cao,0050/0120,02/04,- / C1.4(12:35)
17,2021.01.21,12798,"S17E34(-523"",-214"")",β/-,Cao/---,0060/----,03/--,-
18,2021.01.21,12796,"S21W86(907"",-342"")",/,/,/,/,-
19,2021.01.22,12797,"S18E10(-161"",-216"")",α/α,Hax/Hsx,0070/0050,02/02,-
20,2021.01.22,12798,"S16E22(-352"",-188"")",β/β,Cao/Cao,0040/0060,04/03,-
21,2021.01.22,12796,"S21W91(909"",-349"")",/,/,/,/,-
22,2021.01.23,12797,"S18W03(48"",-213"")",α/α,Hax/Hax,0070/0070,02/02,-
23,2021.01.23,12798,"S16E06(-98"",-180"")",β/β,Cro/Cao,0020/0040,05/04,-
24,2021.01.23,12799,"N21W42(610"",412"")",β/-,Bxo/---,0010/----,02/--,-
25,2021.01.24,12797,"S17W16(257"",-199"")",α/α,Hax/Hax,0050/0070,02/02,-
26,2021.01.24,12798,"S16W07(114"",-179"")",α/β,Axx/Cro,0010/0020,01/05,-
27,2021.01.24,12799,"N22W57(759"",411"")",α/β,Axx/Bxo,0010/0010,01/02,-
28,2021.01.25,12797,"S17W28(439"",-204"")",α/α,Hax/Hax,0050/0050,02/02,-
29,2021.01.25,12799,"N23W71(848"",407"")",α/α,Axx/Axx,0010/0010,01/01,-
30,2021.01.25,12798,"S16W21(337"",-183"")",/α,/Axx,/0010,/01,-
31,2021.01.26,12797,"S18W41(609"",-231"")",α/α,Hrx/Hax,0020/0050,02/02,-
32,2021.01.26,12799,"N22W82(894"",375"")",β/α,Dro/Axx,0020/0010,04/01,-
