,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45,MEANSHR,MEANGAM,TOTBSQ,TOTFZ,EPSZ,FLARE_CLASS
9076,205.157,2.228398e+22,4004462000000.0,40.14,772936600000.0,2.393974e+21,134.409195,4563.379,2.332,21.05,32.335,42.284,3143200000,-248.17,-0.1498,No Flares
9077,758.52,1.15829e+23,15771460000000.0,135.886,3168899000000.0,1.102077e+22,357.315735,4585.338,3.187,27.149,37.557,44.463,13155000000,-1978.2,-0.2852,No Flares
9078,163.181,1.095792e+22,3373706000000.0,1.882,753531900000.0,3.586177e+21,93.147881,1533.105,0.0,1.003,20.364,24.497,4397300000,-1029.1,-0.4439,No Flares
9079,135.64,9.44983e+21,2832605000000.0,18.046,410344300000.0,1.978238e+21,99.380287,2260.355,0.0,6.385,25.078,30.292,2655900000,-190.43,-0.136,No Flares
9080,914.049,1.756999e+23,18673290000000.0,191.353,5437968000000.0,1.52259e+22,385.605469,5385.922,4.167,22.883,34.85,41.32,17461000000,-3105.8,-0.3374,No Flares
9081,159.874,1.087227e+22,3542515000000.0,0.956,264895300000.0,3.364777e+21,97.386246,1532.799,0.0,1.273,21.645,24.447,3766200000,-721.76,-0.3635,No Flares
9082,132.694,9.058344e+21,3146460000000.0,3.635,931510400000.0,2.586337e+21,74.868134,1492.193,0.0,5.032,24.206,28.615,3061500000,-480.48,-0.2977,No Flares
9083,694.064,1.080391e+23,12997640000000.0,47.223,1777322000000.0,1.564957e+22,329.661194,3601.081,3.774,15.254,27.077,33.868,17895000000,-4038.2,-0.428,No Flares
9084,741.77,9.332747e+22,14288640000000.0,148.283,6566369000000.0,1.62071e+22,291.023468,2809.738,3.68,7.585,25.308,31.331,15332000000,-4090.9,-0.5061,No Flares
9085,124.463,8.429715e+21,2672814000000.0,1.682,569205500000.0,2.555195e+21,86.800697,1618.838,0.0,1.454,21.533,24.848,3502800000,-559.31,-0.3029,No Flares
